State,Population_2021_Lakhs
Andaman & Nicobar Islands,4.01
Andhra Pradesh,528.49
Arunachal Pradesh,15.37
Assam,351.55
Bihar,1236.95
Chandigarh,12.12
Chhattisgarh,296.07
Dadra & Nagar Haveli and Daman & Diu,11.08
Delhi (UT),207.03
Goa,15.61
Gujarat,700.75
Haryana,296.04
Himachal Pradesh,74.06
Jammu & Kashmir,134.40
Jharkhand,386.37
Karnataka,669.86
Kerala,355.37
Ladakh,2.98
Lakshadweep,0.68
Madhya Pradesh,848.60
Maharashtra,1247.62
Manipur,31.72
Meghalaya,32.95
Mizoram,12.19
Nagaland,21.98
Odisha,457.93
Puducherry,15.84
Punjab,304.04
Rajasthan,795.72
Sikkim,6.78
Tamil Nadu,764.79
Telangana,377.71
Tripura,40.81
Uttar Pradesh,2317.04
Uttarakhand,114.39
West Bengal,982.85
