State,Year,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
A&N Islands,2019,-4.7965064,3.7867675,3.7895603,-3.6510785,3.4444277,4.2778096,2.4633732,-3.7643123,-2.963812,-5.8261266,-2.2122178,3.7303085,2.8324785,-4.760701,3.155963,5.107806
A&N Islands,2020,-4.9244676,3.8967097,3.9850621,-4.072389,3.429809,4.432496,2.7112277,-3.7842152,-3.050346,-6.2812095,-2.2505136,3.7192025,3.0685441,-4.8982596,3.336369,5.3086505
A&N Islands,2021,-5.303837,4.1738462,4.258375,-4.32454,3.6917777,4.7682467,2.8706686,-4.076352,-3.2841375,-6.6696157,-2.4202282,4.0032263,3.277345,-5.27203,3.5573108,5.6845937
A&N Islands,2022,-5.300774,4.1712856,4.256274,-4.323514,3.6890664,4.76573,2.8696613,-4.073876,-3.2822468,-6.666971,-2.418955,4.0006657,3.2759647,-5.269127,3.5556314,5.6818633
A&N Islands,2023,-6.765118,5.328053,4.966162,-3.9546983,5.2145863,5.9268785,2.7381487,-5.413912,-4.157517,-7.0159373,-3.1193278,5.4817224,3.453587,-6.6369014,4.0358977,6.7875376
Andhra Pradesh,2019,-14.141181,11.590195,10.547981,-8.77498,10.6810055,12.301299,6.7767816,-11.2538595,-9.027188,-15.846325,-6.069473,11.122175,8.075529,-13.582946,9.126534,14.37441
Andhra Pradesh,2020,-11.978549,9.744125,8.867436,-7.2777753,9.0696125,10.396631,5.572472,-9.53184,-7.609865,-13.191013,-5.192288,9.46812,6.692893,-11.509493,7.619602,12.111333
Andhra Pradesh,2021,-12.29546,10.085635,8.995646,-7.1123843,9.464181,10.620393,5.5668497,-9.847577,-7.8210077,-13.308778,-5.324962,9.814709,6.7345963,-11.803046,7.747432,12.351761
Andhra Pradesh,2022,-11.479984,9.449326,8.339569,-6.4739656,8.896093,9.897582,5.119646,-9.2413435,-7.309606,-12.321596,-4.9997025,9.228696,6.212804,-11.033282,7.2057576,11.526883
Andhra Pradesh,2023,-10.5142355,8.846046,7.6402006,-5.8522925,8.219682,9.0298815,4.845444,-8.534853,-6.7763176,-11.506192,-4.5344768,8.4690485,5.744888,-10.100827,6.7084346,10.594135
