Year,Category,Value
2019,Children,1350435.0
2019,Human Traficking,77372.0
2019,Juvenile,468547.8
2019,Women,3158688.0
2020,Children,1176298.0
2020,Human Traficking,58340.0
2020,Juvenile,454611.1
2020,Women,2883295.0
2021,Children,1378115.0
2021,Human Traficking,77446.0
2021,Juvenile,477562.1
2021,Women,3305897.0
2022,Children,1378115.0
2022,Human Traficking,78275.0
2022,Juvenile,477562.1
2022,Women,3178586.0
2023,Children,1656633.0
2023,Human Traficking,74200.0
2023,Juvenile,493050.8
2023,Women,3483297.0
