SL,State,Missing_I,Missing_V,Missing_R,Other_Kidnap_I,Other_Kidnap_V,Other_Kidnap_R,Begging_I,Begging_V,Begging_R
1,Andhra Pradesh,88,88,0.6,305,315,1.9,3,3,0
2,Arunachal Pradesh,7,7,1.5,44,45,9.4,0,0,0
3,Assam,719,737,6,713,990,6,15,15,0.1
4,Bihar,1303,1304,2.9,276,289,0.6,3,3,0
5,Chhattisgarh,1156,1185,11.5,934,970,9.3,0,0,0
6,Goa,31,31,6,18,19,3.5,0,0,0
7,Gujarat,581,617,2.8,277,282,1.3,1,4,0
8,Haryana,190,219,2,165,165,1.8,0,0,0
9,Himachal Pradesh,63,73,2.9,168,171,7.8,0,0,0
10,Jammu & Kashmir,61,65,1.4,211,227,4.7,0,0,0
11,Jharkhand,22,24,0.2,53,53,0.4,4,4,0
12,Karnataka,2354,2439,12,177,190,0.9,3,3,0
13,Kerala,39,40,0.4,172,180,1.8,1,1,0
14,Madhya Pradesh,5282,5449,17.6,2444,2563,8.1,0,0,0
15,Maharashtra,5647,5897,14.9,4198,4347,11.1,2,2,0
16,Manipur,0,0,0,5,5,0.5,0,0,0
17,Meghalaya,8,8,0.8,27,27,2.7,0,0,0
18,Mizoram,0,0,0,2,2,0.5,0,0,0
19,Nagaland,25,29,3.7,1,1,0.1,0,0,0
20,Odisha,4315,4316,30.7,159,160,1.1,0,0,0
21,Punjab,37,42,0.4,39,46,0.4,1,1,0
22,Rajasthan,984,988,3.4,1024,1033,3.6,0,0,0
23,Sikkim,51,59,25.1,0,0,0,0,0,0
24,Tamil Nadu,4,4,0,22,23,0.1,2,2,0
25,Telangana,445,445,4,404,423,3.6,3,3,0
26,Tripura,21,21,1.7,23,26,1.9,0,0,0
27,Uttar Pradesh,1343,1477,1.5,2346,2479,2.6,1,1,0
28,Uttarakhand,305,310,7.9,54,57,1.4,0,0,0
29,West Bengal,588,590,2,1798,1818,6.1,2,2,0
30,A&N Islands,12,15,8.8,8,8,5.9,0,0,0
31,Chandigarh,128,147,32,2,4,0.5,0,0,0
32,D&N Haveli,8,8,6.3,0,0,0,0,0,0
33,Daman & Diu,22,22,24.2,2,2,2.2,0,0,0
34,Delhi,2531,2587,45.2,2996,3103,53.5,1,1,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
