SL,State,Sec364_I,Sec364_V,Sec364_R,Ransom_I,Ransom_V,Ransom_R,Marriage_I,Marriage_V,Marriage_R
1,Andhra Pradesh,1,1,0,5,5,0,59,65,0.4
2,Arunachal Pradesh,0,0,0,1,1,0.2,2,2,0.4
3,Assam,2,2,0,12,12,0.1,582,583,4.9
4,Bihar,12,12,0,18,18,0,4483,4483,10
5,Chhattisgarh,4,4,0,5,5,0,420,420,4.2
6,Goa,0,0,0,0,0,0,1,1,0.2
7,Gujarat,0,0,0,5,5,0,553,558,2.7
8,Haryana,1,1,0,1,1,0,178,178,1.9
9,Himachal Pradesh,1,1,0,0,0,0,152,154,7
10,Jammu & Kashmir,1,1,0,0,0,0,12,12,0.3
11,Jharkhand,5,5,0,5,5,0,164,164,1.2
12,Karnataka,0,0,0,8,8,0,15,15,0.1
13,Kerala,0,0,0,1,1,0,29,31,0.3
14,Madhya Pradesh,6,6,0,6,6,0,1486,1540,4.9
15,Maharashtra,1,1,0,8,8,0,784,796,2.1
16,Manipur,0,0,0,1,1,0.1,13,13,1.3
17,Meghalaya,0,0,0,1,1,0.1,1,1,0.1
18,Mizoram,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,0,74,74,0.5
21,Punjab,4,4,0,1,1,0,1166,1191,13.3
22,Rajasthan,0,0,0,0,0,0,415,420,1.5
23,Sikkim,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,0,0,0,1,1,0,183,183,0.9
25,Telangana,1,1,0,2,2,0,285,290,2.6
26,Tripura,1,1,0.1,1,1,0.1,53,53,4.3
27,Uttar Pradesh,33,44,0,9,9,0,4040,4060,4.6
28,Uttarakhand,0,0,0,0,0,0,21,22,0.5
29,West Bengal,4,4,0,5,5,0,455,455,1.5
30,A&N Islands,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,22,22,5.5
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0
34,Delhi,0,0,0,6,6,0.1,1,1,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
