SL,State,Procurement_I,Procurement_V,Procurement_R,Import_I,Import_V,Import_R,Other_Kidnap_I,Other_Kidnap_V,Other_Kidnap_R
1,Andhra Pradesh,48,48,0.3,1,1,0,11,13,0.1
2,Arunachal Pradesh,6,9,1.3,0,0,0,1,7,0.2
3,Assam,1415,1474,11.9,0,0,0,284,289,2.4
4,Bihar,1,1,0,0,0,0,222,224,0.5
5,Chhattisgarh,2,2,0,0,0,0,52,53,0.5
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,0,33,36,0.2
8,Haryana,808,813,8.7,0,0,0,467,534,5
9,Himachal Pradesh,3,3,0.1,0,0,0,24,24,1.1
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,Jharkhand,302,304,2.3,0,0,0,10,10,0.1
12,Karnataka,58,58,0.3,0,0,0,25,27,0.1
13,Kerala,20,20,0.2,0,0,0,18,19,0.2
14,Madhya Pradesh,22,22,0.1,0,0,0,35,35,0.1
15,Maharashtra,30,30,0.1,0,0,0,34,35,0.1
16,Manipur,36,36,3.7,0,0,0,8,8,0.8
17,Meghalaya,22,22,2.2,0,0,0,12,12,1.2
18,Mizoram,0,0,0,0,0,0,0,0,0
19,Nagaland,1,1,0.1,0,0,0,6,9,0.9
20,Odisha,54,54,0.4,0,0,0,0,0,0
21,Punjab,1,1,0,0,0,0,82,86,0.9
22,Rajasthan,13,13,0,0,0,0,696,716,2.4
23,Sikkim,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,99,99,0.5,0,0,0,8,8,0
25,Telangana,74,74,0.7,0,0,0,9,9,0.1
26,Tripura,10,10,0.8,0,0,0,10,10,0.8
27,Uttar Pradesh,0,0,0,0,0,0,25,25,0
28,Uttarakhand,0,0,0,0,0,0,113,124,2.9
29,West Bengal,92,95,0.3,1,1,0,455,455,1.5
30,A&N Islands,0,0,0,0,0,0,6,7,4.4
31,Chandigarh,0,0,0,0,0,0,1,8,0.3
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0
34,Delhi,0,0,0,0,0,0,2,2,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
