SL,State,POCSO_Total_I,POCSO_Total_V,POCSO_Total_R,Sec4_6_Total_I,Sec4_6_Total_V,Sec4_6_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,502,508,3.2,265,268,1.7,263,266,1.7,2,2,0
2,Arunachal Pradesh,36,38,7.7,22,24,4.7,22,24,4.7,0,0,0
3,Assam,1779,1820,15,1263,1292,10.6,1261,1290,10.6,2,2,0
4,Bihar,1540,1605,3.4,721,722,1.6,719,720,1.6,2,2,0
5,Chhattisgarh,2027,2048,20.2,1377,1389,13.7,1377,1389,13.7,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,2253,2269,10.9,1539,1547,7.4,1539,1547,7.4,0,0,0
8,Haryana,2074,2077,22.3,1174,1176,12.6,1117,1119,12,57,57,0.6
9,Himachal Pradesh,12,12,0.6,1,1,0,0,0,0,1,1,0
10,Jammu & Kashmir,109,109,2.4,75,75,1.7,75,75,1.7,0,0,0
11,Jharkhand,654,654,5,469,469,3.6,461,461,3.5,8,8,0.1
12,Karnataka,2160,2216,11,1623,1654,8.3,1614,1641,8.2,9,13,0
13,Kerala,1283,1290,13.7,113,113,1.2,67,67,0.7,46,46,0.5
14,Madhya Pradesh,6123,6138,20.4,3337,3349,11.1,3337,3349,11.1,0,0,0
15,Maharashtra,6558,6725,17.3,3117,3161,8.2,3117,3161,8.2,0,0,0
16,Manipur,58,58,6,47,47,4.9,47,47,4.9,0,0,0
17,Meghalaya,219,225,21.9,145,146,14.5,144,145,14.4,1,1,0.1
18,Mizoram,79,81,21.3,36,36,9.7,36,36,9.7,0,0,0
19,Nagaland,12,14,1.8,10,12,1.5,10,12,1.5,0,0,0
20,Odisha,2036,2124,14.5,1417,1505,10.1,1417,1505,10.1,0,0,0
21,Punjab,389,392,4.4,232,235,2.6,232,235,2.6,0,0,0
22,Rajasthan,596,596,2.1,4,4,0,2,2,0,2,2,0
23,Sikkim,91,93,44.8,61,61,30,58,58,28.6,3,3,1.5
24,Tamil Nadu,2396,2433,11.9,1742,1747,8.6,1726,1729,8.5,16,18,0.1
25,Telangana,1998,2011,17.9,1180,1191,10.6,1180,1191,10.6,0,0,0
26,Tripura,176,178,14.2,107,109,8.6,107,109,8.6,0,0,0
27,Uttar Pradesh,7594,7722,8.6,3344,3383,3.8,3264,3301,3.7,80,82,0.1
28,Uttarakhand,369,369,9.6,231,231,6,231,231,6,0,0,0
29,West Bengal,2267,2273,7.7,1378,1382,4.7,1365,1369,4.6,13,13,0
30,A&N Islands,94,94,69.1,83,83,61,83,83,61,0,0,0
31,Chandigarh,5,5,1.3,1,1,0.3,1,1,0.3,0,0,0
32,D&N Haveli,39,39,30.7,38,38,29.9,38,38,29.9,0,0,0
33,Daman & Diu,15,15,16.5,9,9,9.9,9,9,9.9,0,0,0
34,Delhi,1719,1739,30.7,969,975,17.3,953,957,17,16,18,0.3
35,Lakshadweep,25,25,138.9,14,14,77.8,14,14,77.8,0,0,0
36,Puducherry,48,48,10.3,48,48,10.3,48,48,10.3,0,0,0
