SL,State,Sec17_22_Total_I,Sec17_22_Total_V,Sec17_22_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,0,0,0,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
3,Assam,8,8,0.1,8,8,0.1,0,0,0
4,Bihar,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,14,14,0.1,14,14,0.1,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,84,84,0.4,84,84,0.4,0,0,0
8,Haryana,22,22,0.2,21,21,0.2,1,1,0
9,Himachal Pradesh,1,1,0,0,0,0,1,1,0
10,Jammu & Kashmir,3,3,0.1,3,3,0.1,0,0,0
11,Jharkhand,13,13,0.1,13,13,0.1,0,0,0
12,Karnataka,23,23,0.1,21,21,0.1,2,2,0
13,Kerala,4,4,0,4,4,0,0,0,0
14,Madhya Pradesh,0,0,0,0,0,0,0,0,0
15,Maharashtra,7,7,0,6,6,0,1,1,0
16,Manipur,0,0,0,0,0,0,0,0,0
17,Meghalaya,7,7,0.7,7,7,0.7,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,1,1,0,1,1,0,0,0,0
21,Punjab,0,0,0,0,0,0,0,0,0
22,Rajasthan,398,398,1.4,389,389,1.4,9,9,0
23,Sikkim,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,28,31,0.1,26,28,0.1,2,3,0
25,Telangana,2,2,0,2,2,0,0,0,0
26,Tripura,2,2,0.2,2,2,0.2,0,0,0
27,Uttar Pradesh,308,310,0.3,308,310,0.3,0,0,0
28,Uttarakhand,12,12,0.3,12,12,0.3,0,0,0
29,West Bengal,28,28,0.1,28,28,0.1,0,0,0
30,A&N Islands,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0
34,Delhi,3,3,0.1,2,2,0,1,1,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
