SL,State,ITP_Total_I,ITP_Total_V,ITP_Total_R,Sec5_I,Sec5_V,Sec5_R,Sec6_I,Sec6_V,Sec6_R,Others_I,Others_V,Others_R
1,Andhra Pradesh,1,1,0,1,1,0,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,5,5,0,5,5,0,0,0,0,0,0,0
5,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0
8,Haryana,0,0,0,0,0,0,0,0,0,0,0,0
9,Himachal Pradesh,1,1,0,1,1,0,0,0,0,0,0,0
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0
12,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0
13,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
15,Maharashtra,3,6,0,1,1,0,0,0,0,2,5,0
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
17,Meghalaya,2,11,0.2,2,11,0.2,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,0,0,0,0,0,0,0
21,Punjab,0,0,0,0,0,0,0,0,0,0,0,0
22,Rajasthan,1,1,0,0,0,0,0,0,0,1,1,0
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,2,5,0,2,5,0,0,0,0,0,0,0
25,Telangana,0,0,0,0,0,0,0,0,0,0,0,0
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,1,2,0,1,2,0,0,0,0,0,0,0
28,Uttarakhand,1,3,0,1,3,0,0,0,0,0,0,0
29,West Bengal,5,10,0,0,0,0,0,0,0,5,10,0
30,A&N Islands,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
