SL,State,Assault_I,Assault_V,Assault_R,Insult_I,Insult_V,Insult_R,Other_IPC_I,Other_IPC_V,Other_IPC_R,Total_I,Total_V,Total_R
1,Andhra Pradesh,513,513,3.4,33,33,0.2,280,320,1.9,2085,2168,13.8
2,Arunachal Pradesh,3,3,0.5,0,0,0.0,4,10,0.7,83,96,14.1
3,Assam,14,14,0.1,0,0,0.0,157,157,1.3,2833,3421,23.5
4,Bihar,43,43,0.1,0,0,0.0,476,518,1.0,4963,5277,10.4
5,Chhattisgarh,81,81,0.8,7,7,0.1,416,450,4.3,2991,3132,30.7
6,Goa,10,10,2.6,2,2,0.5,16,20,4.2,113,120,29.6
7,Gujarat,17,17,0.1,0,0,0.0,303,415,1.4,1525,1736,7.3
8,Haryana,0,0,0.0,0,0,0.0,715,769,7.8,2332,2399,25.6
9,Himachal Pradesh,68,70,3.2,0,0,0.0,10,37,0.5,598,636,27.8
10,Jharkhand,64,64,0.5,0,0,0.0,5,5,0.0,818,830,5.9
11,Karnataka,6,6,0.0,0,0,0.0,750,1169,3.9,2941,3526,15.2
12,Kerala,620,631,6.6,35,35,0.4,200,326,2.1,1330,1485,14.1
13,Madhya Pradesh,127,127,0.4,11,11,0.0,1954,2241,6.8,11322,12092,39.4
14,Maharashtra,0,0,0.0,0,0,0.0,424,472,1.2,8407,8632,23.3
15,Manipur,1,1,0.1,0,0,0.0,3,3,0.3,47,48,4.5
16,Meghalaya,10,10,0.7,0,0,0.0,10,11,0.7,79,81,5.7
17,Mizoram,0,0,0.0,0,0,0.0,8,12,1.9,27,31,6.4
18,Nagaland,0,0,0.0,0,0,0.0,1,1,0.1,13,15,1.6
19,Odisha,0,0,0.0,0,0,0.0,31,51,0.2,3998,4024,27.7
20,Punjab,18,18,0.2,0,0,0.0,125,126,1.4,1352,1463,15.5
21,Rajasthan,1015,1018,3.6,9,9,0.0,432,441,1.5,5754,5892,20.5
22,Sikkim,1,1,0.5,0,0,0.0,9,11,4.4,49,56,23.8
23,Tamil Nadu,22,22,0.1,1,1,0.0,569,925,2.8,1071,1531,5.2
24,Telangana,153,153,1.3,23,23,0.2,174,220,1.5,1722,1807,15.1
25,Tripura,1,1,0.1,1,1,0.1,2,2,0.2,111,111,9.0
26,Uttar Pradesh,1263,1264,1.5,9,9,0.0,582,606,0.7,8186,8338,9.6
27,Uttarakhand,26,26,0.7,0,0,0.0,12,33,0.3,426,447,11.2
28,West Bengal,0,0,0.0,1,1,0.0,207,217,0.7,7446,7715,24.8
29,A&N Islands,0,0,0.0,0,0,0.0,12,14,10.7,21,23,18.7
30,Chandigarh,11,11,3.4,0,0,0.0,16,22,4.9,198,213,61.1
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,2,2,1.0,24,24,12.5
32,Delhi,0,0,0.0,0,0,0.0,235,286,4.2,4113,4450,74.3
33,Jammu & Kashmir,23,33,0.5,0,0,0.0,59,99,1.2,401,460,8.2
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,2,2,2.4
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,1,1,5.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
