SL,State,Murder_I,Murder_V,Murder_R,Murder_Rape_I,Murder_Rape_V,Murder_Rape_R,Other_Murder_I,Other_Murder_V,Other_Murder_R,Abet_Suicide_I,Abet_Suicide_V,Abet_Suicide_R
1,Andhra Pradesh,33,38,0.2,2,2,0.0,31,36,0.2,15,17,0.1
2,Arunachal Pradesh,1,1,0.2,0,0,0.0,1,1,0.2,0,0,0.0
3,Assam,38,41,0.3,7,8,0.1,31,33,0.3,1,1,0.0
4,Bihar,102,113,0.2,0,0,0.0,102,113,0.2,0,0,0.0
5,Chhattisgarh,53,56,0.5,6,6,0.1,47,50,0.5,12,12,0.1
6,Goa,1,1,0.3,0,0,0.0,1,1,0.3,1,1,0.3
7,Gujarat,78,86,0.4,6,6,0.0,72,80,0.3,8,8,0.0
8,Haryana,43,47,0.5,8,8,0.1,35,39,0.4,11,12,0.1
9,Himachal Pradesh,5,8,0.2,1,1,0.0,4,7,0.2,1,1,0.0
10,Jharkhand,10,12,0.1,3,5,0.0,7,7,0.1,0,0,0.0
11,Karnataka,99,108,0.5,8,9,0.0,91,99,0.5,12,13,0.1
12,Kerala,41,50,0.4,1,1,0.0,40,49,0.4,5,5,0.1
13,Madhya Pradesh,119,127,0.4,8,8,0.0,111,119,0.4,84,95,0.3
14,Maharashtra,146,152,0.4,11,11,0.0,135,141,0.4,48,49,0.1
15,Manipur,1,1,0.1,0,0,0.0,1,1,0.1,0,0,0.0
16,Meghalaya,3,3,0.2,2,2,0.1,1,1,0.1,1,1,0.1
17,Mizoram,1,1,0.2,0,0,0.0,1,1,0.2,0,0,0.0
18,Nagaland,1,1,0.1,1,1,0.1,0,0,0.0,0,0,0.0
19,Odisha,9,9,0.1,5,5,0.0,4,4,0.0,0,0,0.0
20,Punjab,35,39,0.4,3,3,0.0,32,36,0.4,10,14,0.1
21,Rajasthan,23,26,0.1,6,6,0.0,17,20,0.1,5,5,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,56,69,0.3,3,3,0.0,53,66,0.3,8,8,0.0
24,Telangana,36,39,0.3,5,5,0.0,31,34,0.3,24,25,0.2
25,Tripura,4,5,0.3,1,1,0.1,3,4,0.2,0,0,0.0
26,Uttar Pradesh,245,266,0.3,40,41,0.0,205,225,0.2,37,37,0.0
27,Uttarakhand,5,5,0.1,0,0,0.0,5,5,0.1,0,0,0.0
28,West Bengal,53,58,0.2,3,3,0.0,50,55,0.2,51,52,0.2
29,A&N Islands,1,1,0.9,0,0,0.0,1,1,0.9,0,0,0.0
30,Chandigarh,1,1,0.3,1,1,0.3,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,1,1,0.5,1,1,0.5,0,0,0.0,0,0,0.0
32,Delhi,27,29,0.5,2,2,0.0,25,27,0.5,2,2,0.0
33,Jammu & Kashmir,7,7,0.1,1,1,0.0,6,6,0.1,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,1,1,5.0,0,0,0.0,1,1,5.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
