SL,State,Sec377_Total_I,Sec377_Total_V,Sec377_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,2,2,0.0,2,2,0.0,0,0,0.0
2,Arunachal Pradesh,2,2,0.3,0,0,0.0,2,2,0.3
3,Assam,1,1,0.0,1,1,0.0,0,0,0.0
4,Bihar,10,10,0.0,0,0,0.0,10,10,0.0
5,Chhattisgarh,12,13,0.1,1,1,0.0,11,12,0.1
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,19,19,0.1,4,4,0.0,15,15,0.1
8,Haryana,26,27,0.3,0,0,0.0,26,27,0.3
9,Himachal Pradesh,5,5,0.2,0,0,0.0,5,5,0.2
10,Jharkhand,1,1,0.0,1,1,0.0,0,0,0.0
11,Karnataka,3,5,0.0,0,0,0.0,3,5,0.0
12,Kerala,61,61,0.6,6,6,0.1,55,55,0.6
13,Madhya Pradesh,56,56,0.2,1,1,0.0,55,55,0.2
14,Maharashtra,77,88,0.2,2,2,0.0,75,86,0.2
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,2,2,0.0,0,0,0.0,2,2,0.0
20,Punjab,28,28,0.3,0,0,0.0,28,28,0.3
21,Rajasthan,11,11,0.0,0,0,0.0,11,11,0.0
22,Sikkim,1,1,0.5,0,0,0.0,1,1,0.5
23,Tamil Nadu,2,4,0.0,0,0,0.0,2,4,0.0
24,Telangana,5,5,0.0,0,0,0.0,5,5,0.0
25,Tripura,1,1,0.1,0,0,0.0,1,1,0.1
26,Uttar Pradesh,65,65,0.1,9,9,0.0,56,56,0.1
27,Uttarakhand,14,14,0.4,0,0,0.0,14,14,0.4
28,West Bengal,7,7,0.0,0,0,0.0,7,7,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,72,72,1.3,3,3,0.1,69,69,1.2
33,Jammu & Kashmir,15,15,0.3,0,0,0.0,15,15,0.3
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,1,1,5.0,0,0,0.0,1,1,5.0
36,Puducherry,1,1,0.3,1,1,0.3,0,0,0.0
