SL,State,JJ_Total_I,JJ_Total_V,JJ_Total_R,Caretaker_I,Caretaker_V,Caretaker_R,Other_I,Other_V,Other_R
1,Andhra Pradesh,16,35,0.1,1,1,0.0,15,34,0.1
2,Arunachal Pradesh,1,1,0.2,0,0,0.0,1,1,0.2
3,Assam,88,92,0.7,24,25,0.2,64,67,0.5
4,Bihar,1,1,0.0,0,0,0.0,1,1,0.0
5,Chhattisgarh,3,3,0.0,2,2,0.0,1,1,0.0
6,Goa,1,1,0.3,1,1,0.3,0,0,0.0
7,Gujarat,87,94,0.4,39,39,0.2,48,55,0.2
8,Haryana,76,85,0.8,1,1,0.0,75,84,0.8
9,Himachal Pradesh,3,3,0.1,0,0,0.0,3,3,0.1
10,Jharkhand,10,11,0.1,4,5,0.0,6,6,0.0
11,Karnataka,78,122,0.4,11,43,0.1,67,79,0.3
12,Kerala,297,325,3.2,74,77,0.8,223,248,2.4
13,Madhya Pradesh,7,7,0.0,0,0,0.0,7,7,0.0
14,Maharashtra,41,43,0.1,5,5,0.0,36,38,0.1
15,Manipur,3,3,0.3,2,2,0.2,1,1,0.1
16,Meghalaya,2,2,0.1,0,0,0.0,2,2,0.1
17,Mizoram,3,3,0.7,0,0,0.0,3,3,0.7
18,Nagaland,2,2,0.2,0,0,0.0,2,2,0.2
19,Odisha,38,38,0.3,24,24,0.2,14,14,0.1
20,Punjab,10,10,0.1,4,4,0.0,6,6,0.1
21,Rajasthan,516,853,1.8,66,71,0.2,450,782,1.6
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,101,128,0.5,15,15,0.1,86,113,0.4
24,Telangana,391,531,3.4,0,0,0.0,391,531,3.4
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,2,2,0.0,0,0,0.0,2,2,0.0
27,Uttarakhand,2,2,0.1,1,1,0.0,1,1,0.0
28,West Bengal,32,48,0.1,0,0,0.0,32,48,0.1
29,A&N Islands,1,1,0.9,0,0,0.0,1,1,0.9
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,1,1,0.5,0,0,0.0,1,1,0.5
32,Delhi,56,77,1.0,2,10,0.0,54,67,1.0
33,Jammu & Kashmir,2,2,0.0,0,0,0.0,2,2,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
