SL,State,Attempt_Murder_I,Attempt_Murder_V,Attempt_Murder_R,Infanticide_I,Infanticide_V,Infanticide_R,Foeticide_I,Foeticide_V,Foeticide_R,Exposure_I,Exposure_V,Exposure_R
1,Andhra Pradesh,7,7,0.0,1,1,0.0,2,2,0.0,13,13,0.1
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,22,23,0.2,1,1,0.0,0,0,0.0,1,1,0.0
4,Bihar,35,61,0.1,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,21,21,0.2,3,3,0.0,24,24,0.2,29,29,0.3
6,Goa,3,3,0.8,0,0,0.0,0,0,0.0,2,2,0.5
7,Gujarat,2,2,0.0,3,3,0.0,5,5,0.0,98,94,0.5
8,Haryana,12,12,0.1,16,16,0.2,6,6,0.1,40,40,0.4
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.3
10,Jharkhand,0,0,0.0,4,4,0.0,0,0,0.0,0,0,0.0
11,Karnataka,11,11,0.1,1,1,0.0,1,1,0.0,62,65,0.3
12,Kerala,22,24,0.2,0,0,0.0,0,0,0.0,8,9,0.1
13,Madhya Pradesh,40,40,0.1,12,12,0.0,20,20,0.1,140,147,0.5
14,Maharashtra,43,54,0.1,9,9,0.0,4,4,0.0,101,102,0.3
15,Manipur,0,0,0.0,0,0,0.0,2,2,0.2,0,0,0.0
16,Meghalaya,2,2,0.1,2,2,0.1,0,0,0.0,2,2,0.1
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,4,4,0.0,1,1,0.0,5,5,0.1,11,11,0.1
21,Rajasthan,9,9,0.0,1,1,0.0,8,8,0.0,74,74,0.3
22,Sikkim,2,4,1.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,10,10,0.0,6,6,0.0,0,0,0.0,7,7,0.0
24,Telangana,4,4,0.0,1,1,0.0,1,1,0.0,14,14,0.1
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,4,4,0.0,0,0,0.0,6,6,0.0,0,0,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,2,2,0.1,0,0,0.0
28,West Bengal,5,5,0.0,2,2,0.0,1,1,0.0,1,1,0.0
29,A&N Islands,1,1,0.9,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,1,1,0.3,0,0,0.0,0,0,0.0,3,3,0.9
31,D&N Haveli and Daman & Diu,1,1,0.5,0,0,0.0,0,0,0.0,1,1,0.5
32,Delhi,27,31,0.5,2,2,0.0,0,0,0.0,27,30,0.5
33,Jammu & Kashmir,2,3,0.0,2,2,0.0,1,1,0.0,12,12,0.2
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
