SL,State,Simple_Hurt_I,Simple_Hurt_V,Simple_Hurt_R,Grievous_Hurt_I,Grievous_Hurt_V,Grievous_Hurt_R,Kidnap_Total_I,Kidnap_Total_V,Kidnap_Total_R,Sec363_I,Sec363_V,Sec363_R
1,Andhra Pradesh,96,100,0.6,4,4,0.0,413,418,2.7,308,313,2.0
2,Arunachal Pradesh,1,20,0.2,0,0,0.0,31,32,5.3,27,28,4.6
3,Assam,6,9,0.0,38,38,0.3,1772,1787,14.7,642,651,5.3
4,Bihar,206,337,0.4,43,100,0.1,6233,6275,13.1,1040,1061,2.2
5,Chhattisgarh,382,441,3.9,8,8,0.1,2730,2982,28.0,2613,2864,26.8
6,Goa,8,9,2.1,2,2,0.5,63,71,16.5,63,71,16.5
7,Gujarat,14,14,0.1,7,8,0.0,1506,1547,7.2,969,1004,4.6
8,Haryana,25,25,0.3,23,24,0.3,2922,2982,32.0,623,648,6.8
9,Himachal Pradesh,0,0,0.0,0,0,0.0,397,408,18.4,260,271,12.1
10,Jharkhand,7,7,0.1,0,0,0.0,534,534,3.9,21,21,0.2
11,Karnataka,52,85,0.3,4,4,0.0,3254,3318,16.8,3228,3292,16.7
12,Kerala,237,253,2.5,33,39,0.4,193,201,2.1,148,154,1.6
13,Madhya Pradesh,1523,1647,5.3,103,115,0.4,11521,11590,40.1,9833,9900,34.2
14,Maharashtra,179,188,0.5,42,46,0.1,12252,13150,33.9,12089,12971,33.5
15,Manipur,0,0,0.0,1,1,0.1,21,21,2.0,2,2,0.2
16,Meghalaya,1,2,0.1,0,0,0.0,65,66,4.7,55,55,4.0
17,Mizoram,3,3,0.7,1,2,0.2,3,3,0.7,3,3,0.7
18,Nagaland,0,0,0.0,0,0,0.0,1,1,0.1,1,1,0.1
19,Odisha,0,0,0.0,0,0,0.0,5978,5979,41.5,5905,5906,41.0
20,Punjab,16,17,0.2,5,5,0.1,1334,1366,15.3,18,20,0.2
21,Rajasthan,77,77,0.3,0,0,0.0,5738,5764,20.4,4441,4465,15.8
22,Sikkim,2,3,1.0,0,0,0.0,35,45,17.0,33,43,16.0
23,Tamil Nadu,108,125,0.5,14,14,0.1,175,175,0.8,37,37,0.2
24,Telangana,8,9,0.1,0,0,0.0,1969,2011,17.3,1753,1792,15.4
25,Tripura,0,0,0.0,0,0,0.0,110,114,9.0,43,46,3.5
26,Uttar Pradesh,18,34,0.0,22,22,0.0,8025,8160,9.4,4340,4456,5.1
27,Uttarakhand,1,1,0.0,0,0,0.0,659,694,17.3,540,543,14.2
28,West Bengal,1,1,0.0,7,7,0.0,5742,5997,19.1,3821,3974,12.7
29,A&N Islands,1,1,0.9,1,1,0.9,22,22,19.6,22,22,19.6
30,Chandigarh,6,6,1.9,6,6,1.9,157,163,48.4,145,151,44.7
31,D&N Haveli and Daman & Diu,1,1,0.5,0,0,0.0,47,47,24.5,47,47,24.5
32,Delhi,64,87,1.2,2,2,0.0,5471,5655,98.8,5464,5648,98.7
33,Jammu & Kashmir,7,7,0.1,0,0,0.0,486,502,9.9,369,385,7.5
34,Ladakh,0,0,0.0,0,0,0.0,4,5,4.7,4,5,4.7
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,21,21,5.9,20,20,5.6
