SL,State,Trafficking_I,Trafficking_V,Trafficking_R,Selling_Total_I,Selling_Total_V,Selling_Total_R,Boys_I,Boys_V,Boys_R,Girls_I,Girls_V,Girls_R
1,Andhra Pradesh,12,12,0.1,0,0,0.0,0,0,0.0,0,0,0.0
2,Arunachal Pradesh,5,18,0.8,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,48,89,0.4,5,5,0.0,0,0,0.0,5,5,0.0
4,Bihar,35,111,0.1,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,14,19,0.1,0,0,0.0,0,0,0.0,0,0,0.0
6,Goa,2,2,0.5,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,5,14,0.0,0,0,0.0,0,0,0.0,0,0,0.0
8,Haryana,7,7,0.1,0,0,0.0,0,0,0.0,0,0,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,34,62,0.2,0,0,0.0,0,0,0.0,0,0,0.0
11,Karnataka,3,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
12,Kerala,21,30,0.2,0,0,0.0,0,0,0.0,0,0,0.0
13,Madhya Pradesh,22,39,0.1,2,2,0.0,0,0,0.0,2,2,0.0
14,Maharashtra,37,76,0.1,1,1,0.0,0,0,0.0,1,1,0.0
15,Manipur,2,3,0.2,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,6,11,0.1,0,0,0.0,0,0,0.0,0,0,0.0
21,Rajasthan,9,15,0.0,0,0,0.0,0,0,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,2,11,0.0,0,0,0.0,0,0,0.0,0,0,0.0
24,Telangana,17,42,0.1,0,0,0.0,0,0,0.0,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,7,34,0.0,2,2,0.0,1,1,0.0,1,1,0.0
27,Uttarakhand,4,40,0.1,0,0,0.0,0,0,0.0,0,0,0.0
28,West Bengal,18,31,0.1,2,2,0.0,0,0,0.0,2,2,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,82,746,1.5,0,0,0.0,0,0,0.0,0,0,0.0
33,Jammu & Kashmir,5,10,0.1,0,0,0.0,0,0,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
