SL,State,Child_Labour_I,Child_Labour_V,Child_Labour_R,Marriage_I,Marriage_V,Marriage_R,Organs_I,Organs_V,Organs_R
1,Andhra Pradesh,25,56,0.2,45,47,0.3,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,132,151,1.1,5267,5267,43.6,0,0,0.0
4,Bihar,522,843,1.1,13,13,0.0,0,0,0.0
5,Chhattisgarh,1,1,0.0,0,0,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,85,95,0.4,8,11,0.0,0,0,0.0
8,Haryana,8,14,0.1,28,31,0.3,0,0,0.0
9,Himachal Pradesh,0,0,0.0,1,1,0.0,0,0,0.0
10,Jharkhand,41,51,0.3,5,5,0.0,0,0,0.0
11,Karnataka,128,151,0.7,143,145,0.7,0,0,0.0
12,Kerala,1,1,0.0,4,5,0.0,0,0,0.0
13,Madhya Pradesh,4,8,0.0,4,4,0.0,0,0,0.0
14,Maharashtra,44,47,0.1,93,93,0.3,0,0,0.0
15,Manipur,0,0,0.0,2,3,0.2,0,0,0.0
16,Meghalaya,3,3,0.2,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,57,57,0.4,0,0,0.0
20,Punjab,12,12,0.1,11,11,0.1,0,0,0.0
21,Rajasthan,38,41,0.1,5,6,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,56,149,0.3,174,174,0.8,0,0,0.0
24,Telangana,168,202,1.5,33,33,0.3,0,0,0.0
25,Tripura,0,0,0.0,2,2,0.2,0,0,0.0
26,Uttar Pradesh,5,8,0.0,15,15,0.0,0,0,0.0
27,Uttarakhand,57,57,1.5,5,5,0.1,0,0,0.0
28,West Bengal,2,2,0.0,118,118,0.4,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,3,3,0.9,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,2,2,1.0,0,0,0.0,0,0,0.0
32,Delhi,52,269,0.9,1,1,0.0,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,2,2,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,1,1,0.3,2,2,0.6,0,0,0.0
