SL,State,Cyber_Total_I,Cyber_Total_V,Cyber_Total_R,Explicit_I,Explicit_V,Explicit_R,Other_I,Other_V,Other_R
1,Andhra Pradesh,75,84,0.5,73,80,0.5,2,4,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,39,43,0.3,34,38,0.3,5,5,0.0
4,Bihar,7,7,0.0,7,7,0.0,0,0,0.0
5,Chhattisgarh,202,202,2.1,187,187,1.9,15,15,0.2
6,Goa,10,19,2.6,8,8,2.1,2,11,0.5
7,Gujarat,15,15,0.1,10,10,0.0,5,5,0.0
8,Haryana,8,8,0.1,4,4,0.0,4,4,0.0
9,Himachal Pradesh,4,4,0.2,2,2,0.1,2,2,0.1
10,Jharkhand,0,0,0.0,0,0,0.0,0,0,0.0
11,Karnataka,363,375,1.9,341,353,1.8,22,22,0.1
12,Kerala,346,356,3.7,342,352,3.6,4,4,0.0
13,Madhya Pradesh,24,25,0.1,5,5,0.0,19,20,0.1
14,Maharashtra,31,32,0.1,23,24,0.1,8,8,0.0
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,7,7,0.5,6,6,0.4,1,1,0.1
17,Mizoram,4,4,0.9,4,4,0.9,0,0,0.0
18,Nagaland,1,1,0.1,1,1,0.1,0,0,0.0
19,Odisha,69,69,0.5,69,69,0.5,0,0,0.0
20,Punjab,14,14,0.2,11,11,0.1,3,3,0.0
21,Rajasthan,282,286,1.0,254,254,0.9,28,32,0.1
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,10,10,0.0,5,5,0.0,5,5,0.0
24,Telangana,31,34,0.3,20,21,0.2,11,13,0.1
25,Tripura,1,1,0.1,1,1,0.1,0,0,0.0
26,Uttar Pradesh,24,25,0.0,14,15,0.0,10,10,0.0
27,Uttarakhand,64,64,1.7,39,39,1.0,25,25,0.7
28,West Bengal,3,3,0.0,2,2,0.0,1,1,0.0
29,A&N Islands,23,23,20.5,19,19,16.9,4,4,3.6
30,Chandigarh,5,6,1.5,4,5,1.2,1,1,0.3
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,14,14,0.3,9,9,0.2,5,5,0.1
33,Jammu & Kashmir,2,2,0.0,2,2,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,3,3,0.8,3,3,0.8,0,0,0.0
