SL,State,Other_SLL_I,Other_SLL_V,Other_SLL_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_All_I,Total_All_V,Total_All_R
1,Andhra Pradesh,4,4,0.0,2106,2158,13.9,2844,2915,18.8
2,Arunachal Pradesh,1,1,0.2,65,68,11.0,176,213,29.9
3,Assam,1,1,0.0,8078,8128,66.9,10174,10404,84.2
4,Bihar,1,2,0.0,2888,3218,6.1,9906,10615,20.9
5,Chhattisgarh,5,5,0.1,2197,2239,22.5,5904,6442,60.6
6,Goa,5,5,1.3,19,28,5.0,196,227,51.3
7,Gujarat,2,3,0.0,2863,3085,13.7,5083,5421,24.3
8,Haryana,3,3,0.0,2310,2380,25.3,6401,6856,70.2
9,Himachal Pradesh,0,0,0.0,26,27,1.2,704,717,32.7
10,Jharkhand,0,0,0.0,882,893,6.4,1626,1667,11.8
11,Karnataka,6,12,0.0,4617,4845,23.9,8929,9876,46.1
12,Kerala,5,5,0.1,4836,4877,51.4,5903,6052,62.8
13,Madhya Pradesh,0,0,0.0,6553,6603,22.8,22393,23149,77.9
14,Maharashtra,9,9,0.0,8929,9082,24.7,22390,23555,62.0
15,Manipur,0,0,0.0,58,61,5.6,85,89,8.2
16,Meghalaya,0,0,0.0,421,453,30.5,512,548,37.1
17,Mizoram,0,0,0.0,125,127,29.6,146,149,34.6
18,Nagaland,0,0,0.0,17,17,2.1,26,27,3.2
19,Odisha,1,1,0.0,2587,2597,17.9,8577,8588,59.5
20,Punjab,6,6,0.1,865,893,9.9,2462,2542,28.2
21,Rajasthan,27,27,0.1,4397,4447,15.6,10577,10684,37.6
22,Sikkim,0,0,0.0,89,104,43.2,139,212,67.5
23,Tamil Nadu,13,17,0.1,4922,5190,23.8,6968,7826,33.7
24,Telangana,22,22,0.2,3756,3860,33.0,6113,6305,53.7
25,Tripura,0,0,0.0,136,141,11.1,255,264,20.8
26,Uttar Pradesh,3,3,0.0,8763,9027,10.3,18852,19362,22.1
27,Uttarakhand,2,2,0.1,962,969,25.3,1710,1793,45.0
28,West Bengal,5,5,0.0,2928,2946,9.8,8853,9203,29.5
29,A&N Islands,0,0,0.0,121,122,107.7,161,168,143.4
30,Chandigarh,0,0,0.0,8,9,2.5,294,302,90.7
31,D&N Haveli and Daman & Diu,0,0,0.0,60,62,31.2,123,125,64.0
32,Delhi,4,4,0.1,1898,2314,34.3,7769,9098,140.3
33,Jammu & Kashmir,0,0,0.0,341,343,6.9,910,940,18.5
34,Ladakh,0,0,0.0,3,3,3.5,7,8,8.3
35,Lakshadweep,0,0,0.0,11,11,55.3,11,11,55.3
36,Puducherry,0,0,0.0,99,100,27.6,156,168,43.5
