SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,29,29,58,1,279,280,30,308,338
2,Arunachal Pradesh,2,1,3,0,0,0,2,1,3
3,Assam,64,151,215,98,147,245,162,298,460
4,Bihar,233,78,311,2,71,73,235,149,384
5,Chhattisgarh,18,25,43,37,16,53,55,41,96
6,Goa,0,0,0,0,38,38,0,38,38
7,Gujarat,1,4,5,0,11,11,1,15,16
8,Haryana,1,20,21,4,20,24,5,40,45
9,Himachal Pradesh,0,4,4,0,3,3,0,7,7
10,Jharkhand,58,88,146,56,48,104,114,136,250
11,Karnataka,1,4,5,38,10,48,39,14,53
12,Kerala,17,202,219,6,37,43,23,239,262
13,Madhya Pradesh,31,56,87,22,48,70,53,104,157
14,Maharashtra,13,39,52,47,819,866,60,858,918
15,Manipur,1,3,4,0,0,0,1,3,4
16,Meghalaya,0,1,1,0,1,1,0,2,2
17,Mizoram,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,206,291,497,534,444,978,740,735,1475
20,Punjab,3,8,11,1,13,14,4,21,25
21,Rajasthan,395,22,417,0,3,3,395,25,420
22,Sikkim,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,14,2,16,0,0,0,14,2,16
24,Telangana,137,85,222,0,574,574,137,659,796
25,Tripura,0,0,0,0,1,1,0,1,1
26,Uttar Pradesh,1,39,40,2,79,81,3,118,121
27,Uttarakhand,0,9,9,0,13,13,0,22,22
28,West Bengal,6,44,50,0,34,34,6,78,84
,TOTAL STATE(S),1231,1205,2436,848,2709,3557,2079,3914,5993
29,A & N Islands,0,0,0,0,0,0,0,0,0
30,Chandigarh,1,1,2,0,0,0,1,1,2
31,DNH and Daman & Diu,0,0,0,0,0,0,0,0,0
32,Delhi UT,337,100,437,29,43,72,366,143,509
33,Jammu & Kashmir,1,1,2,16,3,19,17,4,21
34,Ladakh,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,8,0,8,8,0,8
,TOTAL UT(S),339,102,441,53,46,99,392,148,540
,TOTAL (ALL INDIA),1570,1307,2877,901,2755,3656,2471,4062,6533
