SNo,State,Indian_Male,Indian_Female,Indian_Total,SriLanka_Male,SriLanka_Female,SriLanka_Total,Nepal_Male,Nepal_Female,Nepal_Total,Bangladesh_Male,Bangladesh_Female,Bangladesh_Total,Others_Male,Others_Female,Others_Total,Total_Male,Total_Female,Total_Total
1,Andhra Pradesh,9,190,199,0,0,0,0,0,0,0,0,0,0,2,2,9,192,201
2,Arunachal Pradesh,4,14,18,0,0,0,0,0,0,0,0,0,0,0,0,4,14,18
3,Assam,38,134,172,0,0,0,0,0,0,0,0,0,2,1,3,40,135,175
4,Bihar,327,177,504,0,0,0,0,6,6,0,0,0,0,0,0,327,183,510
5,Chhattisgarh,13,39,52,0,0,0,0,0,0,0,0,0,0,0,0,13,39,52
6,Goa,0,11,11,0,0,0,0,8,8,0,0,0,0,7,7,0,26,26
7,Gujarat,18,16,34,0,0,0,0,0,0,0,1,1,0,0,0,18,17,35
8,Haryana,44,43,87,0,0,0,0,4,4,0,1,1,0,0,0,44,48,92
9,Himachal Pradesh,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
10,Jharkhand,36,61,97,0,0,0,0,0,0,0,0,0,0,0,0,36,61,97
11,Karnataka,2,32,34,0,0,0,0,0,0,0,1,1,0,0,0,2,33,35
12,Kerala,22,82,104,0,0,0,0,0,0,0,0,0,0,0,0,22,82,104
13,Madhya Pradesh,29,96,125,0,0,0,0,0,0,0,0,0,0,0,0,29,96,125
14,Maharashtra,76,831,907,0,0,0,0,4,4,0,23,23,0,21,21,76,879,955
15,Manipur,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,649,597,1246,0,0,0,0,0,0,0,0,0,0,0,0,649,597,1246
20,Punjab,35,21,56,0,0,0,0,0,0,12,3,15,0,0,0,47,24,71
21,Rajasthan,344,19,363,0,0,0,0,0,0,0,0,0,0,0,0,344,19,363
22,Sikkim,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Telangana,22,595,617,0,0,0,0,0,0,0,4,4,0,5,5,22,604,626
25,Tripura,42,25,67,0,0,0,0,0,0,0,0,0,0,0,0,42,25,67
26,Uttar Pradesh,1,185,186,0,0,0,0,0,0,0,0,0,0,0,0,1,185,186
27,Uttarakhand,6,52,58,0,0,0,0,0,0,0,0,0,0,0,0,6,52,58
28,West Bengal,6,45,51,0,0,0,0,0,0,0,6,6,1,0,1,7,51,58
29,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
31,DNH and Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi UT,643,192,835,0,0,0,3,2,5,0,0,0,0,2,2,646,196,842
33,Jammu & Kashmir,1,2,3,0,0,0,0,0,0,1,2,3,0,29,29,2,33,35
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
