SNo,State,Forced Labour,Sexual Exploitation,Other Sexual Exploitation,Domestic Servitude,Forced Marriage,Petty Crimes,Child Pornography,Begging,Drug Peddling,Removal of Organs,Other Reasons,Total Persons
1,Andhra Pradesh,0,149,0,3,5,0,0,2,0,0,42,201
2,Arunachal Pradesh,15,0,0,1,0,0,0,0,0,0,2,18
3,Assam,38,19,0,32,15,0,0,0,0,4,67,175
4,Bihar,93,155,0,0,2,6,0,0,0,0,254,510
5,Chhattisgarh,12,15,0,4,5,0,0,0,0,0,16,52
6,Goa,0,25,0,1,0,0,0,0,0,0,0,26
7,Gujarat,0,12,0,0,1,0,0,0,0,0,22,35
8,Haryana,0,11,0,2,5,0,0,1,0,0,73,92
9,Himachal Pradesh,0,27,0,1,0,0,0,0,0,1,2,31
10,Jharkhand,62,0,0,26,2,0,0,0,0,0,7,97
11,Karnataka,1,32,0,0,0,0,0,0,0,0,2,35
12,Kerala,0,0,0,0,1,2,0,0,0,0,101,104
13,Madhya Pradesh,7,49,0,37,21,0,0,4,0,0,7,125
14,Maharashtra,3,852,0,0,6,0,0,0,0,0,94,955
15,Manipur,2,0,0,0,0,0,0,0,0,0,2,4
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,315,8,0,18,5,21,0,0,0,0,879,1246
20,Punjab,28,1,0,0,2,0,0,1,0,0,39,71
21,Rajasthan,321,7,0,0,2,0,0,0,0,0,33,363
22,Sikkim,0,0,0,0,0,0,0,0,0,0,1,1
23,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0
24,Telangana,19,597,0,0,1,0,0,1,0,0,8,626
25,Tripura,0,0,0,0,0,0,0,0,0,0,67,67
26,Uttar Pradesh,0,116,0,3,13,0,0,3,0,0,51,186
27,Uttarakhand,0,27,0,1,0,4,0,0,0,0,26,58
28,West Bengal,0,14,0,0,2,0,0,0,0,0,42,58
29,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,13,0,0,0,0,0,0,0,0,0,13
31,DNH and Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi UT,758,39,0,22,7,0,0,0,0,0,16,842
33,Jammu & Kashmir,2,4,0,0,29,0,0,0,0,0,0,35
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,17,0,0,0,0,0,0,0,0,0,17
