SL,State,Pending_Start_Year,Apprehended_During_Year,Total_Apprehended,Discharged_During_Investigation,Sent_Home_After_Advice,Sent_To_Special_Home,Dealt_With_Fine,Awarded_Imprisonment,Acquitted_Or_Discharged,Conviction_Rate_Percent,Pending_End_Year
1,Andhra Pradesh,954,1072,2026,301,363,162,80,63,205,76.5,852
2,Arunachal Pradesh,100,39,139,6,21,8,2,0,0,100.0,102
3,Assam,242,136,378,1,79,46,5,0,19,87.2,228
4,Bihar,886,1610,2496,64,472,455,55,1,63,94.0,1386
5,Chhattisgarh,3239,2031,5270,115,670,507,273,35,285,83.9,3385
6,Goa,98,33,131,4,18,8,0,0,23,53.1,78
7,Gujarat,2549,2384,4933,94,1215,1670,49,0,147,95.2,1758
8,Haryana,1663,1596,3259,144,322,441,191,113,434,71.1,1614
9,Himachal Pradesh,209,226,435,25,219,38,17,11,22,92.8,103
10,Jammu & Kashmir,365,407,772,1,198,46,15,0,59,81.4,453
11,Jharkhand,46,77,123,0,0,12,0,0,0,100.0,111
12,Karnataka,796,586,1382,26,525,118,53,2,58,92.3,600
13,Kerala,483,678,1161,71,476,168,40,0,79,89.6,327
14,Madhya Pradesh,7803,6186,13989,320,2971,846,1535,101,912,85.7,7304
15,Maharashtra,7470,6454,13924,656,4237,1004,268,60,719,88.6,6980
16,Manipur,7,8,15,0,9,0,0,0,0,100.0,6
17,Meghalaya,94,89,183,0,16,27,6,0,18,73.1,116
18,Mizoram,43,25,68,5,23,39,0,0,0,100.0,1
19,Nagaland,21,6,27,0,20,0,0,0,0,100.0,7
20,Odisha,86,1412,1498,0,24,1425,0,0,0,100.0,49
21,Punjab,367,293,660,13,76,55,26,63,71,75.6,356
22,Rajasthan,1135,3022,4157,163,646,1249,175,30,137,93.9,1757
23,Sikkim,22,4,26,0,0,6,0,0,1,85.7,19
24,Tamil Nadu,3463,3304,6767,115,2099,448,124,21,968,73.6,2992
25,Telangana,1336,1586,2922,8,877,303,162,38,252,84.6,1282
26,Tripura,56,48,104,0,27,3,0,0,0,100.0,74
27,Uttar Pradesh,1816,1129,2945,333,379,576,109,20,133,89.1,1395
28,Uttarakhand,224,101,325,0,120,68,18,0,14,93.6,105
29,West Bengal,1625,591,2216,211,236,73,19,12,131,72.2,1534
30,A & N Islands,125,24,149,0,1,0,7,0,1,88.9,140
31,Chandigarh,156,208,364,2,12,8,4,82,129,45.1,127
32,D&N Haveli,33,20,53,22,0,0,0,0,0,31.0,0
33,Daman & Diu,5,19,24,0,6,3,0,0,0,100.0,15
34,Delhi UT,4096,3256,7352,658,2408,528,44,6,156,95.0,3552
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0.0,0
36,Puducherry,302,15,317,0,0,0,0,0,0,317.0,4717
