SL,State,Illiterate,Upto_Primary,Primary_to_Matric,Matric_to_Higher_Secondary,Above_Higher_Secondary,Total_Education,Living_with_Parents,Living_with_Guardians,Homeless,Total_Family
1,Andhra Pradesh,149,454,342,104,23,1072,897,53,122,1072
2,Arunachal Pradesh,0,9,27,3,0,39,25,12,2,39
3,Assam,13,30,91,2,0,136,125,11,0,136
4,Bihar,385,390,518,279,48,1620,937,454,229,1620
5,Chhattisgarh,130,779,817,262,43,2031,1577,243,211,2031
6,Goa,1,9,19,4,0,33,32,0,1,33
7,Gujarat,124,1108,964,176,12,2384,2326,34,24,2384
8,Haryana,256,446,601,249,44,1596,1301,171,124,1596
9,Himachal Pradesh,5,59,123,36,3,226,214,11,1,226
10,Jammu & Kashmir,21,53,255,74,4,407,399,3,5,407
11,Jharkhand,0,20,57,0,0,77,72,5,0,77
12,Karnataka,27,163,313,65,18,586,473,27,86,586
13,Kerala,0,36,302,267,73,678,577,88,13,678
14,Madhya Pradesh,774,1877,2565,756,214,6186,4816,1022,348,6186
15,Maharashtra,283,1514,3360,1125,172,6454,5834,416,204,6454
16,Manipur,0,0,6,2,0,8,8,0,0,8
17,Meghalaya,7,40,41,1,0,89,87,1,1,89
18,Mizoram,6,13,4,2,0,25,22,3,0,25
19,Nagaland,2,3,1,0,0,6,4,2,0,6
20,Odisha,126,411,848,27,0,1412,1299,2,111,1412
21,Punjab,21,67,150,47,8,293,267,12,14,293
22,Rajasthan,181,751,1267,638,185,3022,2581,372,69,3022
23,Sikkim,0,0,4,0,0,4,4,0,0,4
24,Tamil Nadu,97,658,1812,636,101,3304,2899,302,103,3304
25,Telangana,266,140,488,663,29,1586,1274,87,225,1586
26,Tripura,0,27,21,0,0,48,48,0,0,48
27,Uttar Pradesh,139,209,458,282,41,1129,923,74,132,1129
28,Uttarakhand,18,30,29,13,11,101,40,17,44,101
29,West Bengal,41,169,320,60,1,591,447,70,74,591
30,A&N Islands,1,9,10,4,0,24,19,5,0,24
31,Chandigarh,0,22,178,5,3,208,191,9,8,208
32,D&N Haveli,0,4,8,8,0,20,7,13,0,20
33,Daman & Diu,1,3,10,5,0,19,16,2,1,19
34,Delhi,646,826,1623,152,9,3256,2616,203,437,3256
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,3,8,0,0,4,15,2,0,13,15
