SL,State,Murder,Culpable_Homicide_Not_Murder,Death_By_Negligence,Dowry_Deaths,Abetment_Suicide
1,Andhra Pradesh,17,1,11,1,2
2,Arunachal Pradesh,0,0,1,0,0
3,Assam,3,0,0,0,0
4,Bihar,58,0,16,11,0
5,Chhattisgarh,45,0,29,1,1
6,Goa,0,0,0,0,0
7,Gujarat,71,0,33,0,7
8,Haryana,55,0,27,0,3
9,Himachal Pradesh,1,2,11,0,0
10,Jammu & Kashmir,2,0,7,0,0
11,Jharkhand,12,0,0,0,0
12,Karnataka,28,0,16,0,0
13,Kerala,2,0,13,0,0
14,Madhya Pradesh,84,5,40,3,10
15,Maharashtra,122,5,42,0,20
16,Manipur,0,0,0,0,0
17,Meghalaya,0,0,0,0,0
18,Mizoram,0,0,2,0,0
19,Nagaland,0,1,0,0,0
20,Odisha,3,0,1,0,0
21,Punjab,6,2,4,0,1
22,Rajasthan,48,1,16,2,4
23,Sikkim,0,0,0,0,0
24,Tamil Nadu,92,0,67,0,2
25,Telangana,22,1,99,0,6
26,Tripura,1,0,3,0,0
27,Uttar Pradesh,48,9,0,9,1
28,Uttarakhand,1,0,0,0,0
29,West Bengal,29,2,4,0,5
30,A&N Islands,0,0,0,0,0
31,Chandigarh,3,0,1,0,0
32,D&N Haveli,1,0,0,0,0
33,Daman & Diu,0,0,1,0,0
34,Delhi,72,1,9,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,1,0,0,0,0
