SL,State,Assault_Women_Modesty,Kidnapping_Abduction,Human_Trafficking,Unnatural_Offences,Rape,Attempt_Rape
1,Andhra Pradesh,24,17,0,26,2,1
2,Arunachal Pradesh,2,1,0,4,0,0
3,Assam,0,20,0,10,1,0
4,Bihar,0,56,0,11,3,0
5,Chhattisgarh,57,39,1,92,0,1
6,Goa,0,1,0,4,0,0
7,Gujarat,25,52,0,22,0,1
8,Haryana,45,36,0,18,4,10
9,Himachal Pradesh,4,5,0,31,0,0
10,Jammu & Kashmir,12,12,0,8,0,0
11,Jharkhand,0,55,0,7,0,0
12,Karnataka,7,5,0,2,0,0
13,Kerala,22,3,2,40,1,8
14,Madhya Pradesh,348,176,2,295,1,12
15,Maharashtra,265,82,0,197,0,7
16,Manipur,0,0,0,0,0,0
17,Meghalaya,0,2,0,7,2,0
18,Mizoram,0,0,1,1,0,0
19,Nagaland,0,1,1,0,0,0
20,Odisha,11,1,0,2,0,0
21,Punjab,13,17,0,24,2,5
22,Rajasthan,156,136,0,164,7,13
23,Sikkim,0,0,0,1,0,0
24,Tamil Nadu,6,9,0,4,0,0
25,Telangana,47,24,0,45,1,0
26,Tripura,2,2,0,3,2,1
27,Uttar Pradesh,74,125,0,94,3,14
28,Uttarakhand,0,0,0,1,0,0
29,West Bengal,10,50,0,28,10,0
30,A&N Islands,1,1,0,1,0,0
31,Chandigarh,1,2,0,8,0,5
32,D&N Haveli,1,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0
34,Delhi,87,33,0,99,0,8
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
