SL,State,Theft,Burglary,Extortion_Blackmail,Robbery,Dacoity,Attempt_Dacoity_Robbery
1,Andhra Pradesh,381,152,5,18,0,2
2,Arunachal Pradesh,5,0,2,1,0,0
3,Assam,31,13,0,1,0,0
4,Bihar,518,68,0,8,0,6
5,Chhattisgarh,152,143,0,26,0,8
6,Goa,14,1,0,0,0,1
7,Gujarat,609,134,2,6,0,16
8,Haryana,278,97,7,10,2,9
9,Himachal Pradesh,24,17,0,0,0,0
10,Jammu & Kashmir,26,22,0,0,0,0
11,Jharkhand,2,0,0,0,0,0
12,Karnataka,100,42,0,29,0,4
13,Kerala,99,23,1,4,1,1
14,Madhya Pradesh,700,324,5,23,1,9
15,Maharashtra,1401,280,8,238,7,60
16,Manipur,0,0,0,0,0,0
17,Meghalaya,2,7,0,1,0,0
18,Mizoram,8,3,0,0,0,0
19,Nagaland,1,1,0,1,0,0
20,Odisha,910,136,0,1,0,4
21,Punjab,42,18,2,0,0,0
22,Rajasthan,459,178,9,25,0,9
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,577,161,28,110,2,13
25,Telangana,468,146,14,15,0,5
26,Tripura,4,2,0,0,0,0
27,Uttar Pradesh,138,40,3,2,2,1
28,Uttarakhand,40,16,0,11,0,0
29,West Bengal,90,0,1,3,0,1
30,A&N Islands,2,3,0,0,0,0
31,Chandigarh,36,14,0,4,0,3
32,D&N Haveli,5,0,0,1,0,0
33,Daman & Diu,7,0,0,0,0,0
34,Delhi,1568,87,6,158,0,1
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
