SL,State,Disobedience_Public_Servant,Election_Offences,Obscene_Books,Rash_Driving,Obscene_Acts_Public,Religion_Offences
1,Andhra Pradesh,2,0,17,0,0,0
2,Arunachal Pradesh,0,0,1,0,0,0
3,Assam,0,0,0,0,0,0
4,Bihar,0,0,6,0,0,0
5,Chhattisgarh,0,0,39,0,6,2
6,Goa,0,0,0,0,0,0
7,Gujarat,4,0,57,0,1,2
8,Haryana,0,0,50,0,4,0
9,Himachal Pradesh,0,0,13,0,0,0
10,Jammu & Kashmir,0,0,17,0,1,0
11,Jharkhand,0,0,0,0,0,0
12,Karnataka,0,0,54,0,0,1
13,Kerala,0,0,60,0,0,0
14,Madhya Pradesh,0,1,244,1,193,5
15,Maharashtra,1,0,150,0,17,3
16,Manipur,0,0,0,0,0,0
17,Meghalaya,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0
20,Odisha,0,0,26,0,0,0
21,Punjab,1,0,3,0,1,0
22,Rajasthan,0,0,43,0,0,0
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,4,1,328,0,56,1
25,Telangana,0,1,81,0,1,0
26,Tripura,0,0,0,0,0,0
27,Uttar Pradesh,0,0,6,0,23,2
28,Uttarakhand,0,0,2,0,0,0
29,West Bengal,2,0,1,0,0,0
30,A&N Islands,0,0,1,0,0,0
31,Chandigarh,0,0,3,0,0,0
32,D&N Haveli,0,0,1,0,0,0
33,Daman & Diu,0,0,1,0,0,0
34,Delhi,0,0,29,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
