SL,State,Insult_Modesty,Criminal_Intimidation,Other_IPC,Total_Cognizable
1,Andhra Pradesh,0,5,20,806
2,Arunachal Pradesh,0,0,1,24
3,Assam,0,0,26,114
4,Bihar,0,0,0,1412
5,Chhattisgarh,2,6,115,1505
6,Goa,0,1,0,26
7,Gujarat,159,0,41,1786
8,Haryana,38,2,68,1135
9,Himachal Pradesh,0,0,1,160
10,Jammu & Kashmir,0,0,23,286
11,Jharkhand,0,0,0,76
12,Karnataka,1,0,12,406
13,Kerala,0,2,1,399
14,Madhya Pradesh,183,4,271,4837
15,Maharashtra,1,11,41,4742
16,Manipur,0,0,0,0
17,Meghalaya,0,1,1,27
18,Mizoram,0,0,0,17
19,Nagaland,0,0,0,6
20,Odisha,6,0,0,1158
21,Punjab,0,0,7,204
22,Rajasthan,0,0,229,2304
23,Sikkim,0,0,0,1
24,Tamil Nadu,31,0,137,2337
25,Telangana,5,0,24,1281
26,Tripura,0,0,1,25
27,Uttar Pradesh,11,0,122,819
28,Uttarakhand,0,0,4,80
29,West Bengal,0,3,28,376
30,A&N Islands,0,0,0,9
31,Chandigarh,0,0,19,114
32,D&N Haveli,0,0,0,10
33,Daman & Diu,0,0,0,10
34,Delhi,1,4,185,2633
35,Lakshadweep,0,0,0,0
36,Puducherry,0,0,0,1
