SL,State,Dowry_Prohibition_Act,Immoral_Traffic_Act,POCSO_Act,Juvenile_Justice_Act
1,Andhra Pradesh,0,1,4,0
2,Arunachal Pradesh,0,0,0,0
3,Assam,0,0,10,0
4,Bihar,0,0,10,0
5,Chhattisgarh,0,0,121,0
6,Goa,0,0,0,0
7,Gujarat,0,1,93,0
8,Haryana,0,1,141,1
9,Himachal Pradesh,0,0,0,1
10,Jammu & Kashmir,0,0,0,0
11,Jharkhand,0,0,0,0
12,Karnataka,1,0,34,0
13,Kerala,0,0,38,0
14,Madhya Pradesh,0,0,427,0
15,Maharashtra,0,0,200,0
16,Manipur,0,0,0,0
17,Meghalaya,0,0,43,0
18,Mizoram,0,0,4,0
19,Nagaland,0,0,0,0
20,Odisha,0,0,3,0
21,Punjab,0,0,11,0
22,Rajasthan,0,0,1,6
23,Sikkim,0,0,3,0
24,Tamil Nadu,0,1,91,0
25,Telangana,0,0,56,0
26,Tripura,0,0,9,0
27,Uttar Pradesh,0,0,100,0
28,Uttarakhand,0,0,1,0
29,West Bengal,0,0,92,2
30,A&N Islands,0,0,8,0
31,Chandigarh,0,0,1,0
32,D&N Haveli,0,0,5,0
33,Daman & Diu,0,0,3,0
34,Delhi,0,0,82,1
35,Lakshadweep,0,0,0,0
36,Puducherry,0,0,0,0
