SL,State,Forest_Act,Wildlife_Protection_Act,Environment_Protection_Act,Tobacco_Act,Noise_Pollution,Foreigners_Act,Passport_Act
1,Andhra Pradesh,0,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,0,0
5,Chhattisgarh,0,0,0,0,0,0,0
6,Goa,0,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,0,0
8,Haryana,0,0,0,0,0,0,0
9,Himachal Pradesh,1,0,0,0,0,0,0
10,Jammu & Kashmir,0,0,0,0,0,0,0
11,Jharkhand,0,0,0,0,0,0,0
12,Karnataka,0,0,0,0,0,0,0
13,Kerala,0,0,0,0,0,0,0
14,Madhya Pradesh,1,0,0,0,0,0,0
15,Maharashtra,0,1,1,0,0,0,2
16,Manipur,0,0,0,0,0,0,0
17,Meghalaya,0,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,0,0
21,Punjab,0,0,0,0,0,0,1
22,Rajasthan,0,3,0,0,1,2,0
23,Sikkim,0,0,0,0,0,0,0
24,Tamil Nadu,0,0,0,5,0,1,1
25,Telangana,0,0,0,0,0,0,0
26,Tripura,0,0,0,0,0,0,1
27,Uttar Pradesh,0,2,0,0,0,0,0
28,Uttarakhand,0,1,0,0,0,0,0
29,West Bengal,0,0,0,0,0,2,1
30,A&N Islands,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0
34,Delhi,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0
