SL,State,Murder,Culpable_Homicide_Not_Murder,Death_By_Negligence,Dowry_Deaths,Abetment_Suicide,Attempt_Murder,Attempt_Culpable_Homicide
1,Andhra Pradesh,24,7,11,0,5,24,0
2,Arunachal Pradesh,0,1,1,0,0,0,0
3,Assam,5,0,0,0,1,1,0
4,Bihar,22,0,9,10,0,42,0
5,Chhattisgarh,58,1,16,1,0,48,0
6,Goa,1,0,1,0,0,1,0
7,Gujarat,66,2,24,0,5,66,0
8,Haryana,38,1,13,0,3,41,0
9,Himachal Pradesh,1,1,4,0,1,0,0
10,Jharkhand,7,0,15,0,0,0,0
11,Karnataka,21,1,13,0,2,33,0
12,Kerala,6,0,5,0,0,5,8
13,Madhya Pradesh,135,0,45,3,19,144,5
14,Maharashtra,125,1,20,0,12,201,2
15,Manipur,0,0,0,0,0,2,0
16,Meghalaya,2,0,1,0,0,0,0
17,Mizoram,1,0,1,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,10,0,0,0,1,16,0
20,Punjab,17,0,1,0,0,9,2
21,Rajasthan,50,0,12,1,3,104,32
22,Sikkim,0,0,1,0,0,0,0
23,Tamil Nadu,104,0,25,0,1,61,0
24,Telangana,23,10,12,1,1,26,0
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,32,18,20,3,2,40,6
27,Uttarakhand,1,2,0,0,0,1,0
28,West Bengal,23,2,1,2,6,30,2
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,2,1,0,0,0,5,1
31,D&N Haveli and Daman & Diu,0,0,2,0,0,0,1
32,Delhi,57,1,6,0,0,77,33
33,Jammu & Kashmir,6,1,1,0,0,4,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,5,0,1,0,0,0,0
