SL,State,Attempt_Suicide,Miscarriage_Infanticide_Foeticide,Hurt,Wrongful_Restraint,Assault_Women_Modesty,Kidnapping_Abduction,Human_Trafficking
1,Andhra Pradesh,0,0,56,0,43,13,0
2,Arunachal Pradesh,0,0,3,0,0,0,0
3,Assam,0,0,4,0,0,13,0
4,Bihar,0,0,171,0,15,20,0
5,Chhattisgarh,0,2,818,7,66,42,0
6,Goa,0,0,1,0,1,1,0
7,Gujarat,0,1,339,1,21,16,0
8,Haryana,0,0,131,11,28,25,0
9,Himachal Pradesh,0,0,25,11,12,7,0
10,Jharkhand,0,0,4,0,0,0,0
11,Karnataka,0,0,43,0,8,2,0
12,Kerala,0,0,47,0,12,4,3
13,Madhya Pradesh,0,0,1693,19,293,165,1
14,Maharashtra,0,3,978,5,192,66,0
15,Manipur,0,0,0,0,1,4,0
16,Meghalaya,0,0,0,0,3,4,0
17,Mizoram,0,0,2,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,10,0,61,9,0
20,Punjab,0,0,50,0,8,15,0
21,Rajasthan,0,1,542,0,156,102,0
22,Sikkim,0,1,2,0,0,1,0
23,Tamil Nadu,0,0,326,2,2,5,0
24,Telangana,0,0,193,0,50,23,0
25,Tripura,0,0,4,0,1,2,0
26,Uttar Pradesh,0,2,103,0,67,111,0
27,Uttarakhand,0,0,4,0,4,2,0
28,West Bengal,0,0,93,3,12,42,0
29,A&N Islands,0,0,1,0,0,2,0
30,Chandigarh,0,0,10,0,1,1,0
31,D&N Haveli and Daman & Diu,0,0,1,1,0,0,0
32,Delhi,0,0,173,0,87,22,0
33,Jammu & Kashmir,3,0,26,2,10,6,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,14,0,0,0,0
