SL,State,Exploitation_Trafficked,Selling_Minors,Buying_Minors,Rape,Attempt_Rape,Unnatural_Offences,Total_Human_Body_Crimes
1,Andhra Pradesh,0,0,0,56,3,1,243
2,Arunachal Pradesh,0,0,0,0,0,0,5
3,Assam,0,0,0,12,0,0,36
4,Bihar,0,0,0,14,0,0,303
5,Chhattisgarh,0,0,0,115,1,2,1177
6,Goa,0,0,0,7,0,0,13
7,Gujarat,0,0,0,34,0,1,576
8,Haryana,0,0,0,13,2,0,306
9,Himachal Pradesh,0,0,0,32,0,2,96
10,Jharkhand,0,0,0,13,0,0,39
11,Karnataka,0,0,0,3,0,0,126
12,Kerala,0,0,0,44,1,4,139
13,Madhya Pradesh,0,1,0,27,1,9,2560
14,Maharashtra,0,0,0,107,0,11,1723
15,Manipur,0,0,0,0,0,0,7
16,Meghalaya,0,0,0,2,0,0,12
17,Mizoram,0,0,0,2,0,1,7
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,34,0,0,141
20,Punjab,0,0,0,20,0,6,128
21,Rajasthan,0,0,0,164,15,8,1190
22,Sikkim,0,0,0,0,0,0,5
23,Tamil Nadu,0,0,0,5,2,0,533
24,Telangana,0,0,0,72,0,2,413
25,Tripura,0,0,0,4,0,0,11
26,Uttar Pradesh,0,0,0,54,0,5,463
27,Uttarakhand,0,0,0,1,0,0,15
28,West Bengal,0,0,0,14,7,0,237
29,A&N Islands,0,0,0,0,0,0,3
30,Chandigarh,0,0,0,2,1,2,26
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,5
32,Delhi,0,0,0,79,0,5,540
33,Jammu & Kashmir,0,0,0,7,0,0,66
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,20
