SL,State,Fake_News,Criminal_Intimidation,Insult_Modesty,Total_Misc_IPC,Other_IPC,Total_Cognizable
1,Andhra Pradesh,0,0,3,29,44,685
2,Arunachal Pradesh,0,0,0,1,2,15
3,Assam,0,0,0,0,27,175
4,Bihar,0,0,0,2,0,690
5,Chhattisgarh,0,6,2,50,138,1942
6,Goa,0,0,0,1,0,25
7,Gujarat,0,142,0,314,23,1572
8,Haryana,1,60,1,108,49,879
9,Himachal Pradesh,0,1,0,28,1,177
10,Jharkhand,0,0,0,0,0,57
11,Karnataka,2,0,0,42,29,371
12,Kerala,0,1,1,33,2,274
13,Madhya Pradesh,3,183,8,520,100,4267
14,Maharashtra,0,2,5,273,11,3752
15,Manipur,0,1,0,1,0,10
16,Meghalaya,0,0,0,0,0,23
17,Mizoram,0,0,0,0,0,12
18,Nagaland,0,0,0,0,0,3
19,Odisha,0,185,0,188,40,1071
20,Punjab,0,0,0,20,7,222
21,Rajasthan,0,0,0,97,270,2287
22,Sikkim,0,0,0,2,0,7
23,Tamil Nadu,1,33,0,253,1324,2892
24,Telangana,0,9,2,86,71,945
25,Tripura,0,0,0,1,2,19
26,Uttar Pradesh,0,22,0,149,97,949
27,Uttarakhand,0,1,0,6,3,57
28,West Bengal,0,2,2,16,55,444
29,A&N Islands,0,0,0,2,0,8
30,Chandigarh,0,0,0,1,2,49
31,D&N Haveli and Daman & Diu,0,0,0,2,0,19
32,Delhi,0,0,2,40,182,2307
33,Jammu & Kashmir,0,0,0,35,11,151
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,1
36,Puducherry,0,0,0,4,2,42
