SL,State,Immoral_Traffic_Act,POCSO_Act,Juvenile_Justice_Act,Child_Marriage_Act,SC_ST_Atrocities_Act
1,Andhra Pradesh,0,3,0,0,0
2,Arunachal Pradesh,0,0,0,0,0
3,Assam,0,66,0,1,0
4,Bihar,0,2,0,0,0
5,Chhattisgarh,0,100,0,0,0
6,Goa,0,0,0,0,0
7,Gujarat,1,103,0,0,2
8,Haryana,0,103,0,2,0
9,Himachal Pradesh,0,3,0,0,3
10,Jharkhand,0,0,0,0,0
11,Karnataka,0,55,0,0,1
12,Kerala,0,22,1,0,0
13,Madhya Pradesh,0,296,0,0,0
14,Maharashtra,0,185,0,1,1
15,Manipur,0,6,0,0,0
16,Meghalaya,0,34,0,0,0
17,Mizoram,0,9,0,0,0
18,Nagaland,0,0,0,0,0
19,Odisha,0,19,0,0,0
20,Punjab,0,13,0,0,0
21,Rajasthan,0,2,0,0,1
22,Sikkim,0,5,0,0,0
23,Tamil Nadu,0,133,5,0,1
24,Telangana,0,44,2,0,0
25,Tripura,0,5,0,0,0
26,Uttar Pradesh,0,238,0,0,3
27,Uttarakhand,0,13,0,0,0
28,West Bengal,0,106,1,0,0
29,A&N Islands,0,12,0,0,0
30,Chandigarh,0,0,0,0,0
31,D&N Haveli and Daman,0,4,0,0,0
32,Delhi,0,64,3,0,0
33,Jammu & Kashmir,0,10,0,0,0
34,Ladakh,0,0,0,0,0
35,Lakshadweep,0,1,0,0,0
36,Puducherry,0,12,0,0,0
