SL,State,Damage_Public_Property_Act,Unlawful_Activities_Act,Explosives_Act,Explosive_Substances_Act,Arms_Act
1,Andhra Pradesh,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0
3,Assam,0,1,0,0,0
4,Bihar,0,0,52,0,0
5,Chhattisgarh,0,0,2,0,0
6,Goa,0,0,0,0,0
7,Gujarat,0,0,3,0,0
8,Haryana,0,0,16,0,0
9,Himachal Pradesh,1,0,0,0,0
10,Jharkhand,0,0,2,0,0
11,Karnataka,0,0,3,0,0
12,Kerala,1,0,0,0,0
13,Madhya Pradesh,0,0,93,2,0
14,Maharashtra,0,0,20,0,0
15,Manipur,0,1,0,0,0
16,Meghalaya,0,0,0,0,0
17,Mizoram,0,0,0,0,0
18,Nagaland,0,0,0,0,0
19,Odisha,0,0,0,0,0
20,Punjab,0,1,2,0,0
21,Rajasthan,0,0,13,0,0
22,Sikkim,0,0,0,0,0
23,Tamil Nadu,4,0,6,0,0
24,Telangana,0,0,0,0,0
25,Tripura,0,0,0,0,0
26,Uttar Pradesh,0,0,17,0,0
27,Uttarakhand,0,0,0,0,0
28,West Bengal,1,0,1,0,2
29,A&N Islands,0,0,0,0,0
30,Chandigarh,0,0,0,0,0
31,D&N Haveli and Daman,0,0,0,0,0
32,Delhi,0,0,29,0,0
33,Jammu & Kashmir,0,2,1,0,1
34,Ladakh,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,0,0,0,0,0
