SL,State,Forest_Act,Wildlife_Protection_Act,Tobacco_Act,Noise_Pollution,Foreigners_Act,Passport_Act
1,Andhra Pradesh,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,1,0
4,Bihar,0,0,0,0,0,0
5,Chhattisgarh,0,0,0,0,0,0
6,Goa,0,0,0,0,0,0
7,Gujarat,0,0,0,0,0,0
8,Haryana,0,0,0,0,0,0
9,Himachal Pradesh,1,0,0,0,0,0
10,Jharkhand,0,0,0,0,0,0
11,Karnataka,1,0,0,0,0,0
12,Kerala,0,0,1,0,0,0
13,Madhya Pradesh,0,0,0,0,0,0
14,Maharashtra,0,0,0,0,0,4
15,Manipur,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,1,0
17,Mizoram,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,0,0,0,0,0
21,Rajasthan,2,2,1,3,0,0
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,0,0,3,0,0,0
24,Telangana,0,0,0,0,0,0
25,Tripura,0,0,0,0,0,3
26,Uttar Pradesh,0,0,0,0,0,0
27,Uttarakhand,0,0,0,0,0,0
28,West Bengal,0,0,0,0,3,0
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and,0,0,0,0,0,0
32,Delhi,0,0,0,0,0,0
33,Jammu & Kashmir,0,0,0,0,0,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
