SL,State,City_Police_Acts,Other_State_Local_Acts,Other_SLL_Crimes,Total_SLL_Crimes
1,Andhra Pradesh,0,0,0,74
2,Arunachal Pradesh,0,0,0,0
3,Assam,0,0,0,72
4,Bihar,0,0,0,137
5,Chhattisgarh,0,0,3,148
6,Goa,0,0,0,0
7,Gujarat,0,5,20,240
8,Haryana,0,0,7,163
9,Himachal Pradesh,0,0,2,25
10,Jharkhand,0,0,0,2
11,Karnataka,0,0,0,67
12,Kerala,0,23,0,57
13,Madhya Pradesh,0,1,14,552
14,Maharashtra,3,7,7,327
15,Manipur,0,0,0,10
16,Meghalaya,0,0,0,36
17,Mizoram,0,0,0,9
18,Nagaland,0,0,0,0
19,Odisha,0,0,1,24
20,Punjab,0,0,8,45
21,Rajasthan,0,3,8,99
22,Sikkim,0,0,0,5
23,Tamil Nadu,15,43,192,502
24,Telangana,0,0,7,68
25,Tripura,0,0,0,9
26,Uttar Pradesh,0,3,47,333
27,Uttarakhand,0,0,2,20
28,West Bengal,0,0,1,142
29,A&N Islands,0,0,0,12
30,Chandigarh,0,0,0,1
31,D&N Haveli and,0,0,0,5
32,Delhi,0,0,5,148
33,Jammu & Kashmir,0,0,0,20
34,Ladakh,0,0,0,0
35,Lakshadweep,0,0,0,1
36,Puducherry,0,2,0,16
