SL,State,Offences_State,Total_State,Unlawful_Assembly,Rioting,Promoting_Enmity,Affray,Total_Public_Tranquility
1,Andhra Pradesh,0,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,1,0,0,1
4,Bihar,0,0,0,10,0,0,10
5,Chhattisgarh,0,0,0,66,0,0,66
6,Goa,0,0,0,1,0,0,1
7,Gujarat,0,0,0,17,0,2,19
8,Haryana,0,0,0,86,1,6,93
9,Himachal Pradesh,0,0,0,4,0,0,4
10,Jharkhand,0,0,0,9,0,0,9
11,Karnataka,0,0,0,25,0,0,25
12,Kerala,0,0,3,15,0,1,19
13,Madhya Pradesh,0,0,0,8,2,0,10
14,Maharashtra,0,0,6,333,10,9,358
15,Manipur,0,0,0,1,0,0,1
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,0
20,Punjab,0,0,0,0,0,2,2
21,Rajasthan,0,0,76,9,3,0,88
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,0,0,2,48,1,6,57
24,Telangana,0,0,1,8,4,0,13
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,0,0,0,17,0,0,17
27,Uttarakhand,0,0,0,8,11,0,19
28,West Bengal,0,0,0,7,1,0,8
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,8,0,0,8
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,0
32,Delhi,0,0,0,3,0,0,3
33,Jammu & Kashmir,0,0,0,7,0,0,7
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,2,2,0,0,4
