SL,State,Theft,Burglary,Extortion_Blackmail,Robbery,Attempt_Dacoity_Robbery,Dacoity,Preparation_Dacoity
1,Andhra Pradesh,245,73,13,9,0,2,0
2,Arunachal Pradesh,7,2,0,0,0,0,0
3,Assam,28,19,0,1,0,0,0
4,Bihar,519,49,3,40,0,5,0
5,Chhattisgarh,132,192,4,26,0,11,0
6,Goa,5,0,0,0,0,0,0
7,Gujarat,421,90,0,21,0,9,0
8,Haryana,282,115,7,29,1,13,2
9,Himachal Pradesh,33,24,0,1,0,0,0
10,Jharkhand,30,16,0,0,0,0,0
11,Karnataka,144,39,3,58,0,9,14
12,Kerala,96,44,0,10,0,2,0
13,Madhya Pradesh,418,304,1,78,1,3,13
14,Maharashtra,819,239,11,223,2,38,14
15,Manipur,1,0,0,0,0,0,0
16,Meghalaya,6,2,0,1,0,0,0
17,Mizoram,2,2,0,0,0,0,0
18,Nagaland,3,0,0,0,0,0,0
19,Odisha,646,106,0,0,0,0,0
20,Punjab,98,27,0,1,0,0,1
21,Rajasthan,452,168,8,82,0,12,1
22,Sikkim,0,2,0,0,0,0,0
23,Tamil Nadu,548,210,27,185,2,17,2
24,Telangana,310,99,3,18,1,5,0
25,Tripura,1,1,0,0,0,0,0
26,Uttar Pradesh,228,47,1,26,0,1,1
27,Uttarakhand,38,18,4,6,0,0,0
28,West Bengal,56,1,2,0,0,0,18
29,A&N Islands,8,1,0,0,0,0,0
30,Chandigarh,27,4,1,2,0,3,0
31,D&N Haveli and Daman & Diu,7,10,0,0,0,0,0
32,Delhi,903,91,3,210,0,5,0
33,Jammu & Kashmir,32,15,0,0,0,0,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,12,5,1,3,0,2,3
