SL,State,Criminal_Misappropriation,Criminal_Breach_Trust,Receiving_Stolen_Property,Total_Property_Crimes,Counterfeiting,Forgery_Cheating,Total_Document_Property
1,Andhra Pradesh,0,0,0,342,0,3,3
2,Arunachal Pradesh,0,0,0,9,0,0,0
3,Assam,0,0,1,49,0,1,1
4,Bihar,0,0,24,640,0,12,12
5,Chhattisgarh,0,0,0,365,0,4,4
6,Goa,0,0,0,5,0,0,0
7,Gujarat,0,1,3,545,1,9,10
8,Haryana,0,3,7,459,0,23,23
9,Himachal Pradesh,0,0,1,59,0,0,0
10,Jharkhand,0,0,15,61,0,0,0
11,Karnataka,0,0,0,267,0,4,4
12,Kerala,0,0,0,152,0,0,0
13,Madhya Pradesh,0,1,1,820,0,13,13
14,Maharashtra,0,0,0,1346,0,15,15
15,Manipur,0,0,0,1,0,1,1
16,Meghalaya,0,0,0,9,0,0,0
17,Mizoram,0,0,0,4,0,0,0
18,Nagaland,0,0,0,3,0,0,0
19,Odisha,0,0,0,752,0,0,0
20,Punjab,0,0,22,149,0,1,1
21,Rajasthan,0,0,0,723,0,12,12
22,Sikkim,0,0,0,2,0,0,0
23,Tamil Nadu,0,0,0,991,1,2,3
24,Telangana,0,0,0,436,0,42,42
25,Tripura,0,0,0,2,0,0,0
26,Uttar Pradesh,0,0,24,328,0,7,7
27,Uttarakhand,0,0,0,66,0,0,0
28,West Bengal,0,1,1,79,2,6,8
29,A&N Islands,0,0,0,9,0,0,0
30,Chandigarh,0,0,3,40,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,17,0,0,0
32,Delhi,0,1,0,1213,0,13,13
33,Jammu & Kashmir,0,0,0,47,0,3,3
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,26,0,0,0
