SL,State,Information_Technology_Act,Copyright_Act,Chit_Funds_Act,Prohibition_Act,Excise_Act,Mines_Minerals_Act
1,Andhra Pradesh,1,1,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,6,6,0,0
4,Bihar,0,174,0,0,0,0
5,Chhattisgarh,2,6,21,21,0,0
6,Goa,0,0,0,0,0,0
7,Gujarat,0,4,4,4,0,0
8,Haryana,2,37,9,9,0,0
9,Himachal Pradesh,0,1,0,0,0,0
10,Jharkhand,0,5,5,5,0,0
11,Karnataka,0,8,5,5,0,0
12,Kerala,0,0,0,0,0,0
13,Madhya Pradesh,0,76,6,6,0,0
14,Maharashtra,0,29,35,35,0,0
15,Manipur,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0
17,Mizoram,1,1,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,3,0,0,0,2
21,Rajasthan,0,72,20,20,0,3
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,7,26,4,4,1,10
24,Telangana,0,2,3,3,0,0
25,Tripura,0,0,0,0,0,0
26,Uttar Pradesh,3,34,16,16,0,1
27,Uttarakhand,0,2,2,2,0,0
28,West Bengal,1,6,0,0,0,1
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,4,1,1,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0
32,Delhi,0,27,1,1,0,0
33,Jammu & Kashmir,0,6,2,2,0,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,2,2,0,0,0,0
