SL,State,NDPS_Act,Forest_Act,Tobacco_Act,Noise_Pollution,Foreigners_Registration_Act,Passport_Act
1,Andhra Pradesh,4,13,28,45,1,0
2,Arunachal Pradesh,0,0,2,2,0,0
3,Assam,0,0,8,8,0,0
4,Bihar,526,0,2,528,0,0
5,Chhattisgarh,0,24,19,43,0,0
6,Goa,0,0,2,2,0,0
7,Gujarat,80,0,2,82,0,0
8,Haryana,0,6,13,19,0,0
9,Himachal Pradesh,0,0,13,13,1,0
10,Jharkhand,0,0,3,3,0,0
11,Karnataka,0,0,13,13,0,0
12,Kerala,0,0,16,16,0,0
13,Madhya Pradesh,0,44,11,55,0,0
14,Maharashtra,5,0,12,17,0,0
15,Manipur,0,0,1,1,0,0
16,Meghalaya,0,0,1,1,0,0
17,Mizoram,0,0,1,1,0,0
18,Nagaland,1,0,3,4,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,10,25,35,0,0
21,Rajasthan,0,18,26,44,0,1
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,22,0,93,115,0,0
24,Telangana,0,0,37,37,0,0
25,Tripura,0,0,1,1,0,0
26,Uttar Pradesh,0,2,9,11,0,0
27,Uttarakhand,0,0,3,3,0,0
28,West Bengal,0,0,5,5,0,0
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,1,1,0,0
32,Delhi,0,28,7,35,0,1
33,Jammu & Kashmir,0,3,14,17,0,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,10,10,0,0
