SL,State,Kidnap_Total_I,Kidnap_Total_V,Kidnap_Total_R,Sec363_I,Sec363_V,Sec363_R,Sec364_I,Sec364_V,Sec364_R
1,Andhra Pradesh,534,537,2.0,327,327,1.2,0,0,0.0
2,Arunachal Pradesh,45,48,6.1,34,37,4.6,0,0,0.0
3,Assam,5364,5915,31.4,863,1353,5.1,2,2,0.0
4,Bihar,6671,6747,11.4,745,745,1.3,11,11,0.0
5,Chhattisgarh,1341,1357,9.2,1079,1094,7.4,3,4,0.0
6,Goa,31,33,4.0,23,25,3.0,0,0,0.0
7,Gujarat,597,603,1.8,179,183,0.5,0,0,0.0
8,Haryana,2423,2449,17.7,96,97,0.7,5,5,0.0
9,Himachal Pradesh,281,284,7.7,86,87,2.4,0,0,0.0
10,Jharkhand,993,995,5.3,170,170,0.9,11,11,0.1
11,Karnataka,923,951,2.8,813,839,2.5,0,0,0.0
12,Kerala,151,152,0.8,83,84,0.5,0,0,0.0
13,Madhya Pradesh,4782,4990,11.8,3692,3882,9.1,1,1,0.0
14,Maharashtra,5254,5332,8.8,4608,4681,7.8,0,0,0.0
15,Manipur,49,49,3.1,1,1,0.1,0,0,0.0
16,Meghalaya,29,29,1.8,12,12,0.7,0,0,0.0
17,Mizoram,1,1,0.2,1,1,0.2,0,0,0.0
18,Nagaland,6,6,0.6,5,5,0.5,0,0,0.0
19,Odisha,3775,3775,16.7,3512,3512,15.6,1,1,0.0
20,Punjab,1241,1260,8.7,11,11,0.1,1,1,0.0
21,Rajasthan,4739,4766,12.4,2051,2065,5.4,2,2,0.0
22,Sikkim,11,13,3.5,11,13,3.5,0,0,0.0
23,Tamil Nadu,633,653,1.7,55,56,0.1,1,1,0.0
24,Telangana,1314,1341,7.0,896,909,4.8,0,0,0.0
25,Tripura,110,110,5.5,35,35,1.8,0,0,0.0
26,Uttar Pradesh,9109,9257,8.3,1359,1360,1.2,33,58,0.0
27,Uttarakhand,349,350,6.3,124,124,2.2,0,0,0.0
28,West Bengal,7740,7805,16.2,4858,4882,10.2,5,5,0.0
29,A&N Islands,1,1,0.5,0,0,0.0,0,0,0.0
30,Chandigarh,90,92,16.4,71,73,12.9,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,2938,3009,31.0,2760,2815,29.1,0,0,0.0
33,Jammu & Kashmir,775,783,12.2,227,228,3.6,2,2,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
