SL,State,Ransom_I,Ransom_V,Ransom_R,Marriage_Total_I,Marriage_Total_V,Marriage_Total_R,Above18_I,Above18_V,Above18_R
1,Andhra Pradesh,1,1,0.0,104,104,0.4,33,33,0.1
2,Arunachal Pradesh,0,0,0.0,5,5,0.7,3,3,0.4
3,Assam,13,13,0.1,2929,2984,17.2,2583,2638,15.1
4,Bihar,0,0,0.0,5308,5378,9.1,2620,2620,4.5
5,Chhattisgarh,2,2,0.0,245,245,1.7,6,6,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,3,3,0.0,393,395,1.2,31,31,0.1
8,Haryana,3,3,0.0,955,973,7.0,821,839,6.0
9,Himachal Pradesh,0,0,0.0,191,193,5.3,14,14,0.4
10,Jharkhand,8,8,0.0,518,520,2.8,413,413,2.2
11,Karnataka,1,1,0.0,51,52,0.2,24,24,0.1
12,Kerala,0,0,0.0,48,48,0.3,6,6,0.0
13,Madhya Pradesh,3,3,0.0,1025,1043,2.5,82,84,0.2
14,Maharashtra,0,0,0.0,525,526,0.9,78,78,0.1
15,Manipur,0,0,0.0,19,19,1.2,15,15,1.0
16,Meghalaya,0,0,0.0,1,1,0.1,1,1,0.1
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,3,3,0.0,194,194,0.9,102,102,0.5
20,Punjab,0,0,0.0,1200,1217,8.4,231,233,1.6
21,Rajasthan,4,4,0.0,1147,1156,3.0,749,750,2.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,4,4,0.0,460,476,1.2,319,335,0.8
24,Telangana,2,2,0.0,279,292,1.5,63,74,0.3
25,Tripura,0,0,0.0,54,54,2.7,13,13,0.7
26,Uttar Pradesh,5,6,0.0,7709,7830,7.0,4779,4887,4.4
27,Uttarakhand,1,1,0.0,63,64,1.1,16,17,0.3
28,West Bengal,5,5,0.0,852,852,1.8,205,205,0.4
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,19,19,3.5,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,0,0,0.0,2,2,0.0,1,1,0.0
33,Jammu & Kashmir,0,0,0.0,449,456,7.1,433,440,6.8
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
