SL,State,Below18_I,Below18_V,Below18_R,Procurement_I,Procurement_V,Procurement_R,Importation_I,Importation_V,Importation_R
1,Andhra Pradesh,71,71,0.3,53,54,0.2,0,0,0.0
2,Arunachal Pradesh,2,2,0.3,2,2,0.3,0,0,0.0
3,Assam,346,346,2.0,1052,1055,6.2,0,0,0.0
4,Bihar,2688,2758,4.6,0,0,0.0,0,0,0.0
5,Chhattisgarh,239,239,1.6,0,0,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,362,364,1.1,0,0,0.0,0,0,0.0
8,Haryana,134,134,1.0,787,789,5.7,0,0,0.0
9,Himachal Pradesh,177,179,4.9,1,1,0.0,0,0,0.0
10,Jharkhand,105,107,0.6,231,231,1.2,0,0,0.0
11,Karnataka,27,28,0.1,26,26,0.1,0,0,0.0
12,Kerala,42,42,0.2,5,5,0.0,0,0,0.0
13,Madhya Pradesh,943,959,2.3,32,32,0.1,0,0,0.0
14,Maharashtra,447,448,0.8,48,50,0.1,0,0,0.0
15,Manipur,4,4,0.3,23,23,1.5,1,1,0.1
16,Meghalaya,0,0,0.0,15,15,0.9,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,92,92,0.4,10,10,0.0,0,0,0.0
20,Punjab,969,984,6.8,0,0,0.0,0,0,0.0
21,Rajasthan,398,406,1.0,11,11,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,141,141,0.4,81,82,0.2,0,0,0.0
24,Telangana,216,218,1.2,46,46,0.2,0,0,0.0
25,Tripura,41,41,2.1,17,17,0.9,0,0,0.0
26,Uttar Pradesh,2930,2943,2.7,1,1,0.0,0,0,0.0
27,Uttarakhand,47,47,0.9,0,0,0.0,0,0,0.0
28,West Bengal,647,647,1.4,30,30,0.1,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,19,19,3.5,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,1,1,0.0,0,0,0.0,0,0,0.0
33,Jammu & Kashmir,16,16,0.3,0,0,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
