SL,State,Buying_I,Buying_V,Buying_R,Rape_Total_I,Rape_Total_V,Rape_Total_R,Rape_18_I,Rape_18_V,Rape_18_R,Rape_Below18_I,Rape_Below18_V,Rape_Below18_R
1,Andhra Pradesh,0,0,0.0,1095,1107,4.2,518,520,2.0,577,587,2.2
2,Arunachal Pradesh,0,0,0.0,60,63,8.1,31,34,4.2,29,29,3.9
3,Assam,0,0,0.0,1657,1658,9.7,1639,1640,9.6,18,18,0.1
4,Bihar,0,0,0.0,806,806,1.4,805,805,1.4,1,1,0.0
5,Chhattisgarh,0,0,0.0,1210,1212,8.3,1197,1199,8.2,13,13,0.1
6,Goa,0,0,0.0,60,61,7.8,19,19,2.5,41,42,5.3
7,Gujarat,0,0,0.0,486,486,1.5,486,486,1.5,0,0,0.0
8,Haryana,0,0,0.0,1373,1373,10.0,1373,1373,10.0,0,0,0.0
9,Himachal Pradesh,0,0,0.0,331,332,9.1,135,135,3.7,196,197,5.4
10,Jharkhand,0,0,0.0,1321,1326,7.1,1205,1210,6.5,116,116,0.6
11,Karnataka,0,0,0.0,504,507,1.5,504,507,1.5,0,0,0.0
12,Kerala,0,0,0.0,637,647,3.5,637,647,3.5,0,0,0.0
13,Madhya Pradesh,1,1,0.0,2339,2341,5.8,2329,2331,5.7,10,10,0.0
14,Maharashtra,0,0,0.0,2061,2065,3.5,2061,2065,3.5,0,0,0.0
15,Manipur,0,0,0.0,32,32,2.0,30,30,1.9,2,2,0.1
16,Meghalaya,0,0,0.0,67,67,4.1,66,66,4.1,1,1,0.1
17,Mizoram,0,0,0.0,33,33,5.5,18,18,3.0,15,15,2.5
18,Nagaland,0,0,0.0,4,4,0.4,3,3,0.3,1,1,0.1
19,Odisha,0,0,0.0,1211,1211,5.4,1194,1194,5.3,17,17,0.1
20,Punjab,0,0,0.0,502,504,3.5,440,442,3.1,62,62,0.4
21,Rajasthan,0,0,0.0,5310,5337,13.9,4031,4058,10.6,1279,1279,3.4
22,Sikkim,0,0,0.0,12,13,3.8,9,9,2.8,3,4,0.9
23,Tamil Nadu,0,0,0.0,389,390,1.0,389,390,1.0,0,0,0.0
24,Telangana,0,0,0.0,764,765,4.1,764,765,4.1,0,0,0.0
25,Tripura,0,0,0.0,79,79,4.0,79,79,4.0,0,0,0.0
26,Uttar Pradesh,0,0,0.0,2769,2796,2.5,2565,2590,2.3,204,206,0.2
27,Uttarakhand,0,0,0.0,487,487,8.8,482,482,8.7,5,5,0.1
28,West Bengal,0,0,0.0,1128,1128,2.4,1128,1128,2.4,0,0,0.0
29,A&N Islands,0,0,0.0,2,2,1.1,2,2,1.1,0,0,0.0
30,Chandigarh,0,0,0.0,60,60,10.9,14,14,2.6,46,46,8.4
31,D&N Haveli and Daman & Diu,0,0,0.0,4,4,1.1,4,4,1.1,0,0,0.0
32,Delhi,0,0,0.0,997,997,10.5,997,997,10.5,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,243,247,3.8,240,244,3.8,3,3,0.0
34,Ladakh,0,0,0.0,2,2,1.6,1,1,0.8,1,1,0.8
35,Lakshadweep,0,0,0.0,3,3,9.1,3,3,9.1,0,0,0.0
36,Puducherry,0,0,0.0,8,8,1.0,8,8,1.0,0,0,0.0
