SL,State,Attempt_Total_I,Attempt_Total_V,Attempt_Total_R,Attempt_18_I,Attempt_18_V,Attempt_18_R,Attempt_Below18_I,Attempt_Below18_V,Attempt_Below18_R
1,Andhra Pradesh,141,141,0.5,101,101,0.4,40,40,0.2
2,Arunachal Pradesh,2,5,0.3,2,5,0.3,0,0,0.0
3,Assam,485,485,2.8,485,485,2.8,0,0,0.0
4,Bihar,69,72,0.1,64,67,0.1,5,5,0.0
5,Chhattisgarh,118,118,0.8,114,114,0.8,4,4,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,3,3,0.0,3,3,0.0,0,0,0.0
8,Haryana,215,215,1.6,213,213,1.6,2,2,0.0
9,Himachal Pradesh,3,3,0.1,3,3,0.1,0,0,0.0
10,Jharkhand,188,202,1.0,143,157,0.8,45,45,0.2
11,Karnataka,11,11,0.0,11,11,0.0,0,0,0.0
12,Kerala,59,60,0.3,49,50,0.3,10,10,0.1
13,Madhya Pradesh,35,35,0.1,24,24,0.1,11,11,0.0
14,Maharashtra,3,3,0.0,2,2,0.0,1,1,0.0
15,Manipur,5,5,0.3,5,5,0.3,0,0,0.0
16,Meghalaya,19,19,1.2,17,17,1.0,2,2,0.1
17,Mizoram,1,1,0.2,1,1,0.2,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,144,144,0.6,144,144,0.6,0,0,0.0
20,Punjab,53,53,0.4,27,27,0.2,26,26,0.2
21,Rajasthan,965,968,2.5,887,890,2.3,78,78,0.2
22,Sikkim,1,1,0.3,1,1,0.3,0,0,0.0
23,Tamil Nadu,15,15,0.0,15,15,0.0,0,0,0.0
24,Telangana,35,35,0.2,32,32,0.2,3,3,0.0
25,Tripura,13,13,0.7,13,13,0.7,0,0,0.0
26,Uttar Pradesh,251,251,0.2,188,188,0.2,63,63,0.1
27,Uttarakhand,12,12,0.2,12,12,0.2,0,0,0.0
28,West Bengal,872,927,1.8,872,927,1.8,0,0,0.0
29,A&N Islands,1,1,0.5,1,1,0.5,0,0,0.0
30,Chandigarh,3,3,0.5,1,1,0.2,2,2,0.4
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,9,9,0.1,7,7,0.1,2,2,0.0
33,Jammu & Kashmir,10,10,0.2,9,9,0.1,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
