SL,State,Sec7_I,Sec7_V,Sec7_R,Sec8_I,Sec8_V,Sec8_R,Other_ITP_I,Other_ITP_V,Other_ITP_R,Domestic_I,Domestic_V,Domestic_R
1,Andhra Pradesh,4,7,0.0,0,0,0.0,27,40,0.1,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,0,0,0.0,0,0,0.0,14,14,0.1,0,0,0.0
4,Bihar,0,0,0.0,0,0,0.0,2,2,0.0,23,23,0.0
5,Chhattisgarh,2,2,0.0,0,0,0.0,1,1,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,10,10,0.0,7,9,0.0,6,8,0.0,0,0,0.0
8,Haryana,7,14,0.1,0,0,0.0,15,15,0.1,0,0,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.1
10,Jharkhand,0,0,0.0,0,0,0.0,2,2,0.0,66,66,0.4
11,Karnataka,44,99,0.1,6,6,0.0,12,23,0.0,0,0,0.0
12,Kerala,1,1,0.0,0,0,0.0,4,5,0.0,165,165,0.9
13,Madhya Pradesh,2,2,0.0,0,0,0.0,1,5,0.0,180,180,0.4
14,Maharashtra,21,25,0.0,9,9,0.0,12,18,0.0,3,3,0.0
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,1,1,0.0,15,15,0.1,0,0,0.0
20,Punjab,1,1,0.0,0,0,0.0,7,7,0.0,0,0,0.0
21,Rajasthan,9,13,0.0,4,5,0.0,29,32,0.1,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,10,20,0.0,3,6,0.0,60,75,0.2,0,0,0.0
24,Telangana,0,0,0.0,0,0,0.0,7,8,0.0,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,0,0,0.0,0,0,0.0,13,24,0.0,0,0,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,3,3,0.1,0,0,0.0
28,West Bengal,1,1,0.0,0,0,0.0,51,91,0.1,1,1,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,0,0,0.0,0,0,0.0,3,3,0.0,2,2,0.0
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
