SL,State,POCSO_Total_I,POCSO_Total_V,POCSO_Total_R,Child_Rape_I,Child_Rape_V,Child_Rape_R,Sexual_Assault_I,Sexual_Assault_V,Sexual_Assault_R,Harassment_I,Harassment_V,Harassment_R
1,Andhra Pradesh,449,454,1.7,271,274,1.0,102,104,0.4,64,64,0.2
2,Arunachal Pradesh,26,26,3.5,16,16,2.2,9,9,1.2,0,0,0.0
3,Assam,1496,1527,8.8,1049,1078,6.1,322,323,1.9,120,121,0.7
4,Bihar,1583,1585,2.7,628,628,1.1,646,648,1.1,198,198,0.3
5,Chhattisgarh,2038,2048,14.0,1534,1541,10.5,469,472,3.2,14,14,0.1
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,2330,2343,7.1,1871,1881,5.7,274,275,0.8,109,111,0.3
8,Haryana,1738,1742,12.7,1032,1034,7.5,534,536,3.9,151,151,1.1
9,Himachal Pradesh,4,4,0.1,0,0,0.0,2,2,0.1,1,1,0.0
10,Jharkhand,927,930,5.0,679,682,3.7,158,158,0.8,18,18,0.1
11,Karnataka,2092,2147,6.4,1598,1647,4.9,335,340,1.0,95,95,0.3
12,Kerala,1839,1879,10.0,1243,1259,6.8,394,410,2.1,109,117,0.6
13,Madhya Pradesh,5582,5603,13.8,3259,3262,8.0,2260,2277,5.6,45,45,0.1
14,Maharashtra,5570,5630,9.4,2785,2800,4.7,2699,2737,4.5,48,54,0.1
15,Manipur,74,75,4.7,55,56,3.5,13,13,0.8,4,4,0.3
16,Meghalaya,320,324,19.7,247,251,15.2,60,60,3.7,9,9,0.6
17,Mizoram,100,101,16.7,57,58,9.5,40,40,6.7,1,1,0.2
18,Nagaland,17,19,1.6,14,14,1.3,2,4,0.2,1,1,0.1
19,Odisha,2202,2202,9.8,1629,1629,7.2,523,523,2.3,17,17,0.1
20,Punjab,697,703,4.9,549,554,3.8,138,139,1.0,1,1,0.0
21,Rajasthan,226,226,0.6,1,1,0.0,5,5,0.0,5,5,0.0
22,Sikkim,97,99,30.6,70,72,22.1,23,23,7.3,4,4,1.3
23,Tamil Nadu,3057,3103,8.0,2205,2227,5.8,613,633,1.6,156,159,0.4
24,Telangana,2067,2089,11.1,1415,1429,7.6,555,557,3.0,81,86,0.4
25,Tripura,142,143,7.2,86,87,4.3,54,54,2.7,2,2,0.1
26,Uttar Pradesh,6716,6722,6.1,2533,2533,2.3,3881,3887,3.5,92,92,0.1
27,Uttarakhand,557,557,10.1,396,396,7.2,157,157,2.8,4,4,0.1
28,West Bengal,2623,2688,5.5,1522,1586,3.2,828,828,1.7,232,233,0.5
29,A&N Islands,116,116,61.7,104,104,55.3,8,8,4.3,2,2,1.1
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,41,41,11.0,39,39,10.4,2,2,0.5,0,0,0.0
32,Delhi,1130,1130,11.9,721,721,7.6,373,373,3.9,31,31,0.3
33,Jammu & Kashmir,195,195,3.1,152,152,2.4,24,24,0.4,2,2,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,7,7,21.2,3,3,9.1,2,2,6.1,1,1,3.0
36,Puducherry,65,65,8.1,44,44,5.5,10,10,1.2,11,11,1.4
