SL,State,Assault_Total_I,Assault_Total_V,Assault_Total_R,Assault_18_I,Assault_18_V,Assault_18_R,Assault_Below18_I,Assault_Below18_V,Assault_Below18_R
1,Andhra Pradesh,5108,5160,19.3,4615,4665,17.5,493,495,1.9
2,Arunachal Pradesh,74,75,9.9,66,67,8.8,8,8,1.1
3,Assam,4499,4511,26.1,4494,4506,26.0,5,5,0.0
4,Bihar,387,391,0.7,385,388,0.6,2,3,0.0
5,Chhattisgarh,1248,1267,8.5,1248,1267,8.5,0,0,0.0
6,Goa,74,81,9.6,55,60,7.1,19,21,2.5
7,Gujarat,660,661,2.0,621,621,1.9,39,40,0.1
8,Haryana,2882,2883,20.7,2882,2883,20.7,0,0,0.0
9,Himachal Pradesh,487,492,13.3,419,424,11.5,68,68,1.9
10,Jharkhand,1335,1339,7.1,1289,1293,6.8,46,46,0.2
11,Karnataka,5105,5985,15.5,5103,5983,15.5,2,2,0.0
12,Kerala,4059,4134,22.0,3433,3494,18.6,626,640,3.4
13,Madhya Pradesh,5760,5764,14.0,5760,5764,14.0,0,0,0.0
14,Maharashtra,10568,10578,17.6,10568,10578,17.6,0,0,0.0
15,Manipur,92,94,5.8,91,93,5.8,1,1,0.1
16,Meghalaya,92,92,5.6,92,92,5.6,0,0,0.0
17,Mizoram,31,31,5.1,31,31,5.1,0,0,0.0
18,Nagaland,11,11,1.0,11,11,1.0,0,0,0.0
19,Odisha,14853,14891,65.3,14853,14891,65.3,0,0,0.0
20,Punjab,678,688,4.7,632,642,4.4,46,46,0.3
21,Rajasthan,9079,9084,23.5,8055,8060,20.8,1024,1024,2.6
22,Sikkim,17,17,5.3,17,17,5.3,0,0,0.0
23,Tamil Nadu,1077,1077,2.8,1077,1077,2.8,0,0,0.0
24,Telangana,4365,4388,23.3,4263,4282,22.7,102,106,0.5
25,Tripura,94,94,4.7,94,94,4.7,0,0,0.0
26,Uttar Pradesh,9393,9703,8.5,8078,8334,7.3,1315,1369,1.2
27,Uttarakhand,655,655,11.7,606,606,10.9,49,49,0.9
28,West Bengal,2485,2485,5.2,2485,2485,5.2,0,0,0.0
29,A&N Islands,32,32,16.9,32,32,16.9,0,0,0.0
30,Chandigarh,37,37,6.7,25,25,4.5,12,12,2.2
31,D&N Haveli and Daman & Diu,7,7,1.8,7,7,1.8,0,0,0.0
32,Delhi,2068,2080,21.4,2068,2080,21.4,0,0,0.0
33,Jammu & Kashmir,1851,1851,28.9,1851,1851,28.9,0,0,0.0
34,Ladakh,5,5,3.8,5,5,3.8,0,0,0.0
35,Lakshadweep,1,1,3.0,1,1,3.0,0,0,0.0
36,Puducherry,31,31,3.8,31,31,3.8,0,0,0.0
