SL,State,Cyber_Total_I,Cyber_Total_V,Cyber_Total_R,Sec67_I,Sec67_V,Sec67_R,Other_Cyber_I,Other_Cyber_V,Other_Cyber_R
1,Andhra Pradesh,73,74,0.3,43,43,0.2,30,31,0.1
2,Arunachal Pradesh,5,7,0.7,5,7,0.7,0,0,0.0
3,Assam,432,458,2.5,228,237,1.3,204,221,1.2
4,Bihar,5,5,0.0,5,5,0.0,0,0,0.0
5,Chhattisgarh,91,91,0.6,86,86,0.6,5,5,0.0
6,Goa,3,4,0.4,3,4,0.4,0,0,0.0
7,Gujarat,44,44,0.1,37,37,0.1,7,7,0.0
8,Haryana,98,98,0.7,91,91,0.7,7,7,0.1
9,Himachal Pradesh,23,24,0.6,15,16,0.4,8,8,0.2
10,Jharkhand,21,22,0.1,13,13,0.1,8,9,0.0
11,Karnataka,172,197,0.5,171,196,0.5,1,1,0.0
12,Kerala,177,177,1.0,164,164,0.9,13,13,0.1
13,Madhya Pradesh,63,63,0.2,51,51,0.1,12,12,0.0
14,Maharashtra,88,89,0.1,61,62,0.1,27,27,0.0
15,Manipur,3,3,0.2,2,2,0.1,1,1,0.1
16,Meghalaya,11,13,0.7,9,11,0.5,2,2,0.1
17,Mizoram,5,9,0.8,2,2,0.3,3,7,0.5
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,565,565,2.5,301,301,1.3,264,264,1.2
20,Punjab,70,71,0.5,55,56,0.4,15,15,0.1
21,Rajasthan,51,54,0.1,46,49,0.1,5,5,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,75,75,0.2,67,67,0.2,8,8,0.0
24,Telangana,47,47,0.3,14,14,0.1,33,33,0.2
25,Tripura,1,1,0.0,1,1,0.0,0,0,0.0
26,Uttar Pradesh,276,276,0.2,272,272,0.2,4,4,0.0
27,Uttarakhand,64,66,1.1,31,33,0.6,33,33,0.6
28,West Bengal,14,14,0.0,8,8,0.0,6,6,0.0
29,A&N Islands,1,1,0.5,1,1,0.5,0,0,0.0
30,Chandigarh,2,2,0.4,2,2,0.4,0,0,0.0
31,D&N Haveli and Daman & Diu,4,4,1.0,4,4,1.0,0,0,0.0
32,Delhi,104,105,1.1,101,102,1.0,3,3,0.0
33,Jammu & Kashmir,9,9,0.1,7,7,0.1,2,2,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
