SL,State,Miscarriage_I,Miscarriage_V,Miscarriage_R,Acid_Attack_I,Acid_Attack_V,Acid_Attack_R,Attempt_Acid_I,Attempt_Acid_V,Attempt_Acid_R,Cruelty_I,Cruelty_V,Cruelty_R
1,Andhra Pradesh,13,13,0.0,2,2,0.0,5,5,0.0,7092,7651,26.8
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,112,112,15.0
3,Assam,14,14,0.1,7,9,0.0,3,3,0.0,12950,12964,75.0
4,Bihar,0,0,0.0,1,1,0.0,1,1,0.0,2069,2069,3.5
5,Chhattisgarh,0,0,0.0,0,0,0.0,0,0,0.0,963,963,6.5
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
7,Gujarat,6,6,0.0,6,6,0.0,6,6,0.0,2271,2309,6.8
8,Haryana,14,14,0.1,6,6,0.0,0,0,0.0,5755,5755,41.3
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,221,221,6.1
10,Jharkhand,3,3,0.0,0,0,0.0,0,0,0.0,931,931,4.9
11,Karnataka,5,5,0.0,1,1,0.0,1,1,0.0,2336,2408,7.1
12,Kerala,1,1,0.0,1,1,0.0,3,3,0.0,4997,5079,27.1
13,Madhya Pradesh,12,12,0.0,5,5,0.0,0,0,0.0,7929,7932,19.3
14,Maharashtra,26,26,0.0,3,3,0.0,3,3,0.0,10095,10101,16.9
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,18,19,1.1
16,Meghalaya,1,1,0.1,0,0,0.0,0,0,0.0,21,21,1.3
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,11,11,1.8
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2
19,Odisha,2,2,0.0,3,3,0.0,0,0,0.0,4889,5488,21.5
20,Punjab,3,3,0.0,3,3,0.0,1,1,0.0,1714,1715,11.9
21,Rajasthan,1,1,0.0,3,3,0.0,1,1,0.0,16949,16973,43.8
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.9
23,Tamil Nadu,3,3,0.0,1,1,0.0,2,2,0.0,875,875,2.3
24,Telangana,1,1,0.0,1,1,0.0,1,1,0.0,9468,9468,50.4
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,355,355,17.7
26,Uttar Pradesh,63,63,0.1,18,21,0.0,5,5,0.0,18375,18383,16.6
27,Uttarakhand,1,1,0.0,2,2,0.0,1,1,0.0,519,719,9.3
28,West Bengal,24,24,0.0,30,30,0.1,11,11,0.0,19952,20052,41.5
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,4,4,2.1
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,95,95,17.1
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,6,6,1.5
32,Delhi,3,3,0.0,8,8,0.1,2,2,0.0,4731,4746,48.9
33,Jammu & Kashmir,0,0,0.0,1,1,0.0,2,2,0.0,501,501,7.8
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,9,9,6.9
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,3,3,9.1
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,12,12,1.5
