SL,State,Insult_Total_I,Insult_Total_V,Insult_Total_R,Insult_18_I,Insult_18_V,Insult_18_R,Insult_Below18_I,Insult_Below18_V,Insult_Below18_R,Total_Crime_I,Total_Crime_V,Total_Crime_R
1,Andhra Pradesh,2370,2384,9.0,2342,2356,8.9,28,28,0.1,17131,17828,64.8
2,Arunachal Pradesh,10,10,1.3,9,9,1.2,1,1,0.1,339,341,45.4
3,Assam,184,194,1.1,184,194,1.1,0,0,0.0,26084,26455,151.2
4,Bihar,1,1,0.0,1,1,0.0,0,0,0.0,12990,13046,21.9
5,Chhattisgarh,238,240,1.6,234,236,1.6,4,4,0.0,4919,4958,33.3
6,Goa,20,20,2.6,20,20,2.6,0,0,0.0,220,253,28.4
7,Gujarat,7,7,0.0,7,7,0.0,0,0,0.0,4839,4892,14.5
8,Haryana,290,290,2.1,288,288,2.1,2,2,0.0,14361,14496,103.2
9,Himachal Pradesh,94,94,2.6,93,93,2.5,1,1,0.0,1561,1575,42.8
10,Jharkhand,6,6,0.0,6,6,0.0,0,0,0.0,5399,5409,28.6
11,Karnataka,71,76,0.2,71,76,0.2,0,0,0.0,9464,10463,28.7
12,Kerala,504,514,2.7,475,483,2.6,29,31,0.2,10672,10864,57.8
13,Madhya Pradesh,250,282,0.6,247,279,0.6,3,3,0.0,24408,24509,59.4
14,Maharashtra,1038,1052,1.7,1037,1051,1.7,1,1,0.0,33182,33678,55.4
15,Manipur,16,16,1.0,16,16,1.0,0,0,0.0,200,204,12.7
16,Meghalaya,24,25,1.5,24,25,1.5,0,0,0.0,287,292,17.5
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,68,68,11.3
18,Nagaland,1,1,0.1,1,1,0.1,0,0,0.0,23,23,2.2
19,Odisha,838,838,3.7,838,838,3.7,0,0,0.0,27792,28435,122.2
20,Punjab,39,39,0.3,39,39,0.3,0,0,0.0,4843,4909,33.6
21,Rajasthan,73,73,0.2,62,62,0.2,11,11,0.0,40056,40115,103.6
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,32,32,10.0
23,Tamil Nadu,32,32,0.1,32,32,0.1,0,0,0.0,3347,3368,8.7
24,Telangana,775,785,4.1,769,779,4.1,6,6,0.0,18109,18278,96.5
25,Tripura,1,1,0.0,1,1,0.0,0,0,0.0,681,681,34.0
26,Uttar Pradesh,27,27,0.0,26,26,0.0,1,1,0.0,44230,44691,39.9
27,Uttarakhand,13,13,0.2,13,13,0.2,0,0,0.0,2247,2448,40.3
28,West Bengal,424,424,0.9,424,424,0.9,0,0,0.0,33247,33422,69.1
29,A&N Islands,4,4,2.1,4,4,2.1,0,0,0.0,61,61,32.3
30,Chandigarh,6,6,1.1,6,6,1.1,0,0,0.0,339,339,61.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,42,42,10.7
32,Delhi,417,417,4.3,417,417,4.3,0,0,0.0,12775,12989,132.1
33,Jammu & Kashmir,10,10,0.2,10,10,0.2,0,0,0.0,3644,3648,57.0
34,Ladakh,1,1,0.8,1,1,0.8,0,0,0.0,18,18,13.8
35,Lakshadweep,1,1,3.0,1,1,3.0,0,0,0.0,5,5,15.2
36,Puducherry,3,3,0.4,3,3,0.4,0,0,0.0,56,56,6.8
