SL,State,Indecent_I,Indecent_V,Indecent_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_IPC_SLL_I,Total_IPC_SLL_V,Total_IPC_SLL_R
1,Andhra Pradesh,0,0,0.0,621,653,2.4,17752,18481,67.2
2,Arunachal Pradesh,0,0,0.0,27,29,3.6,366,370,49.1
3,Assam,0,0,0.0,2962,3015,17.2,29046,29470,168.3
4,Bihar,0,0,0.0,4960,5014,8.4,17950,18060,30.2
5,Chhattisgarh,1,1,0.0,2425,2457,16.4,7344,7415,49.8
6,Goa,0,0,0.0,4,5,0.5,224,258,28.9
7,Gujarat,0,0,0.0,2509,2530,7.5,7348,7422,22.1
8,Haryana,0,0,0.0,2297,2330,16.5,16658,16826,119.7
9,Himachal Pradesh,0,0,0.0,38,39,1.0,1599,1614,43.8
10,Jharkhand,8,8,0.0,2711,2712,14.4,8110,8121,43.0
11,Karnataka,1,1,0.0,5004,5283,15.2,14468,15746,43.8
12,Kerala,2,2,0.0,2867,2897,15.5,13539,13761,73.3
13,Madhya Pradesh,0,0,0.0,6265,6304,15.3,30673,30813,74.7
14,Maharashtra,0,0,0.0,6344,6515,10.6,39526,40193,66.0
15,Manipur,1,1,0.1,102,106,6.5,302,310,19.1
16,Meghalaya,0,0,0.0,398,405,24.2,685,697,41.7
17,Mizoram,0,0,0.0,108,113,17.9,176,181,29.1
18,Nagaland,0,0,0.0,31,33,2.9,54,56,5.1
19,Odisha,3,3,0.0,3560,3561,15.7,31352,31996,137.8
20,Punjab,0,0,0.0,819,870,5.7,5662,5779,39.2
21,Rajasthan,6,6,0.0,682,697,1.8,40738,40812,105.4
22,Sikkim,0,0,0.0,98,102,30.6,130,134,40.6
23,Tamil Nadu,1,1,0.0,5154,5484,13.5,8501,8852,22.2
24,Telangana,0,0,0.0,2756,2788,14.7,20865,21066,111.2
25,Tripura,1,1,0.0,126,128,6.3,807,809,40.2
26,Uttar Pradesh,0,0,0.0,11853,12013,10.7,56083,56704,50.5
27,Uttarakhand,0,0,0.0,1184,1186,21.2,3431,3634,61.5
28,West Bengal,4,4,0.0,2637,2722,5.5,35884,36144,74.6
29,A&N Islands,0,0,0.0,108,110,57.1,169,171,89.4
30,Chandigarh,0,0,0.0,4,4,0.7,343,343,61.7
31,D&N Haveli and Daman & Diu,0,0,0.0,57,57,14.5,99,99,25.3
32,Delhi,0,0,0.0,1502,1519,15.5,14277,14508,147.6
33,Jammu & Kashmir,0,0,0.0,293,294,4.6,3937,3942,61.6
34,Ladakh,0,0,0.0,0,0,0.0,18,18,13.8
35,Lakshadweep,0,0,0.0,4,4,12.1,9,9,27.3
36,Puducherry,0,0,0.0,97,98,11.7,153,154,18.5
