SL,State,Murder_Rape_I,Murder_Rape_V,Murder_Rape_R,Dowry_Deaths_I,Dowry_Deaths_V,Dowry_Deaths_R,Abet_Suicide_I,Abet_Suicide_V,Abet_Suicide_R
1,Andhra Pradesh,5,5,0.0,95,96,0.4,386,396,1.5
2,Arunachal Pradesh,0,0,0.0,1,1,0.1,3,3,0.4
3,Assam,13,14,0.1,101,107,0.6,102,111,0.6
4,Bihar,4,4,0.0,1143,1143,1.9,3,3,0.0
5,Chhattisgarh,5,5,0.0,46,49,0.3,122,122,0.8
6,Goa,0,0,0.0,1,1,0.1,3,3,0.4
7,Gujarat,7,7,0.0,12,12,0.0,318,319,0.9
8,Haryana,9,9,0.1,207,211,1.4,178,179,1.2
9,Himachal Pradesh,6,6,0.2,0,0,0.0,39,39,1.1
10,Jharkhand,3,3,0.0,218,228,1.1,45,60,0.2
11,Karnataka,6,6,0.0,156,160,0.5,274,280,0.8
12,Kerala,4,4,0.0,8,8,0.0,47,47,0.3
13,Madhya Pradesh,29,29,0.1,468,469,1.1,716,721,1.7
14,Maharashtra,29,31,0.0,170,173,0.3,742,771,1.2
15,Manipur,1,1,0.1,1,1,0.1,4,4,0.2
16,Meghalaya,0,0,0.0,0,0,0.0,2,2,0.1
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,15,15,0.1,231,231,1.0,0,0,0.0
20,Punjab,6,6,0.0,44,44,0.3,198,204,1.4
21,Rajasthan,20,20,0.1,428,430,1.1,165,166,0.4
22,Sikkim,1,1,0.3,0,0,0.0,2,2,0.6
23,Tamil Nadu,9,9,0.0,11,11,0.0,143,165,0.4
24,Telangana,14,14,0.1,145,147,0.8,401,409,2.1
25,Tripura,0,0,0.0,21,21,1.0,14,14,0.7
26,Uttar Pradesh,33,33,0.0,2122,2141,1.9,395,396,0.3
27,Uttarakhand,0,0,0.0,48,48,0.8,19,19,0.3
28,West Bengal,7,7,0.0,350,350,0.7,419,431,0.9
29,A&N Islands,0,0,0.0,0,0,0.0,2,2,1.0
30,Chandigarh,0,0,0.0,4,4,0.7,5,5,0.9
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,1,1,0.2
32,Delhi,3,3,0.0,115,115,1.1,42,42,0.4
33,Jammu & Kashmir,1,1,0.0,9,9,0.1,31,39,0.5
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,1,1,0.1,4,4,0.5
