SL,State,Others_I,Others_V,Others_R,Trafficking_I,Trafficking_V,Trafficking_R,Selling_I,Selling_V,Selling_R
1,Andhra Pradesh,26,26,0.1,79,132,0.3,0,0,0.0
2,Arunachal Pradesh,5,5,0.7,5,18,0.7,0,0,0.0
3,Assam,622,717,3.5,81,127,0.5,5,5,0.0
4,Bihar,1793,1822,2.9,28,52,0.0,0,0,0.0
5,Chhattisgarh,17,17,0.1,14,30,0.1,0,0,0.0
6,Goa,10,10,1.3,8,26,1.0,0,0,0.0
7,Gujarat,42,43,0.1,3,5,0.0,0,0,0.0
8,Haryana,1079,1100,7.6,32,50,0.2,0,0,0.0
9,Himachal Pradesh,4,5,0.1,5,11,0.1,0,0,0.0
10,Jharkhand,57,57,0.3,37,73,0.2,0,0,0.0
11,Karnataka,18,95,0.1,11,31,0.0,0,0,0.0
12,Kerala,45,47,0.2,15,16,0.1,0,0,0.0
13,Madhya Pradesh,14,14,0.0,33,46,0.1,2,2,0.0
14,Maharashtra,35,45,0.1,314,531,0.5,1,1,0.0
15,Manipur,8,9,0.5,0,0,0.0,0,0,0.0
16,Meghalaya,3,3,0.2,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,2,2,0.2,0,0,0.0,0,0,0.0
19,Odisha,130,130,0.6,105,108,0.5,0,0,0.0
20,Punjab,34,36,0.2,20,20,0.1,0,0,0.0
21,Rajasthan,1427,1432,3.6,8,8,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,7,7,0.0,2,9,0.0,0,0,0.0
24,Telangana,40,47,0.2,298,442,1.6,0,0,0.0
25,Tripura,1,1,0.0,5,14,0.2,0,0,0.0
26,Uttar Pradesh,11,11,0.0,7,7,0.0,1,1,0.0
27,Uttarakhand,480,521,8.4,4,49,0.1,0,0,0.0
28,West Bengal,2054,2321,4.2,29,42,0.1,2,2,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,3,4,0.5,2,2,0.4,0,0,0.0
31,D&N Haveli and Daman & Diu,1,1,0.2,0,0,0.0,0,0,0.0
32,Delhi,129,134,1.3,44,151,0.4,0,0,0.0
33,Jammu & Kashmir,116,116,1.8,7,31,0.1,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,1,2,0.1,15,29,1.7,0,0,0.0
