SL,State,Dowry_I,Dowry_V,Dowry_R,ITP_Total_I,ITP_Total_V,ITP_Total_R,Sec5_I,Sec5_V,Sec5_R,Sec6_I,Sec6_V,Sec6_R
1,Andhra Pradesh,353,353,1.3,68,84,0.3,11,12,0.0,1,4,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,162,162,0.9,30,31,0.2,3,3,0.0,0,0,0.0
4,Bihar,3665,3665,6.0,58,90,0.1,29,55,0.0,11,11,0.0
5,Chhattisgarh,8,8,0.1,12,14,0.1,0,0,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,3,3,0.0,80,144,0.2,6,11,0.0,22,50,0.1
8,Haryana,14,14,0.1,38,38,0.3,11,11,0.1,2,2,0.0
9,Himachal Pradesh,2,2,0.1,10,19,0.3,6,9,0.2,0,0,0.0
10,Jharkhand,1487,1567,7.7,2,2,0.0,0,0,0.0,1,1,0.0
11,Karnataka,2322,2397,6.9,308,548,0.9,106,186,0.3,94,190,0.3
12,Kerala,21,21,0.1,13,15,0.1,0,0,0.0,1,3,0.0
13,Madhya Pradesh,65,68,0.2,21,39,0.0,5,11,0.0,2,4,0.0
14,Maharashtra,17,17,0.0,211,320,0.3,39,62,0.1,23,69,0.0
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,2,2,0.1,1,1,0.1,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,1,2,0.1,0,0,0.0,0,0,0.0
19,Odisha,5,5,0.0,15,18,0.1,3,3,0.0,0,0,0.0
20,Punjab,4,4,0.0,39,58,0.3,2,2,0.0,0,0,0.0
21,Rajasthan,1,1,0.0,16,17,0.0,6,7,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,144,144,0.4,619,904,1.6,147,189,0.4,81,114,0.2
24,Telangana,4,4,0.0,57,67,0.3,15,22,0.1,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,7151,7570,6.3,53,57,0.0,7,7,0.0,8,9,0.0
27,Uttarakhand,14,14,0.2,26,33,0.5,6,13,0.1,6,6,0.1
28,West Bengal,0,0,0.0,32,56,0.1,0,0,0.0,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,8,8,1.8,0,0,0.0,0,0,0.0
32,Delhi,16,16,0.2,59,68,0.6,1,1,0.0,1,1,0.0
33,Jammu & Kashmir,15,15,0.2,8,10,0.1,0,0,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,14,14,1.6,3,5,0.3,0,0,0.0,0,0,0.0
