State,Cluster_Label
Assam,-1
Arunachal Pradesh,-1
Chhattisgarh,-1
Dadra & Nagar Haveli and Daman & Diu,-1
Jammu & Kashmir,-1
Jharkhand,-1
Goa,-1
Delhi (UT),-1
Karnataka,-1
Punjab,-1
Mizoram,-1
Meghalaya,-1
Maharashtra,-1
Manipur,-1
Madhya Pradesh,-1
Kerala,-1
Telangana,-1
Rajasthan,-1
Odisha,-1
Uttarakhand,-1
Andaman & Nicobar Islands,0
Andhra Pradesh,0
Chandigarh,0
Gujarat,0
Puducherry,0
Nagaland,0
Ladakh,0
Lakshadweep,0
Sikkim,0
Tamil Nadu,0
Tripura,0
Haryana,0
Uttar Pradesh,0
West Bengal,0
Bihar,1
Himachal Pradesh,1
