State,Value,Year,Category,Law,Crime,Metric
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Abet_Suicide,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Abet_Suicide,Victims
Andaman & Nicobar Islands,1.0,2019,Children,IPC,Assault,Incidents
Andaman & Nicobar Islands,1.0,2019,Children,IPC,Assault,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Attempt,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Attempt,Victims
Andaman & Nicobar Islands,1.0,2019,Children,IPC,Attempt_Murder,Incidents
Andaman & Nicobar Islands,1.0,2019,Children,IPC,Attempt_Murder,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Begging,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Begging,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Boys,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Boys,Incidents
Andaman & Nicobar Islands,2.0,2019,Children,SSL,Boys,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Boys,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Boys,Victims
Andaman & Nicobar Islands,2.0,2019,Children,SSL,Boys,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Buying_Total,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Buying_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Caretaker,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Caretaker,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Child_Labour,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Child_Labour,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Cyber_Total,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Cyber_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Explicit,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Explicit,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Exposure,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Exposure,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Foeticide,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Foeticide,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Girls,Incidents
Andaman & Nicobar Islands,83.0,2019,Children,SSL,Girls,Incidents
Andaman & Nicobar Islands,5.0,2019,Children,SSL,Girls,Incidents
Andaman & Nicobar Islands,4.0,2019,Children,SSL,Girls,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Girls,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Girls,Victims
Andaman & Nicobar Islands,83.0,2019,Children,SSL,Girls,Victims
Andaman & Nicobar Islands,5.0,2019,Children,SSL,Girls,Victims
Andaman & Nicobar Islands,4.0,2019,Children,SSL,Girls,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Girls,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Grievous_Hurt,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Grievous_Hurt,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,ITP_Total,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,ITP_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Import,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Import,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Infanticide,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Infanticide,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Insult,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Insult,Victims
Andaman & Nicobar Islands,2.0,2019,Children,SSL,JJ_Total,Incidents
Andaman & Nicobar Islands,2.0,2019,Children,SSL,JJ_Total,Victims
Andaman & Nicobar Islands,26.0,2019,Children,IPC,Kidnap_Total,Incidents
Andaman & Nicobar Islands,30.0,2019,Children,IPC,Kidnap_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Marriage,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Marriage,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Marriage,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Marriage,Victims
Andaman & Nicobar Islands,12.0,2019,Children,IPC,Missing,Incidents
Andaman & Nicobar Islands,15.0,2019,Children,IPC,Missing,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Murder,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Murder,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Murder_Rape,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Murder_Rape,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Organs,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Organs,Victims
Andaman & Nicobar Islands,2.0,2019,Children,SSL,Other,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Other,Incidents
Andaman & Nicobar Islands,2.0,2019,Children,SSL,Other,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Other,Victims
Andaman & Nicobar Islands,18.0,2019,Children,IPC,Other_IPC,Incidents
Andaman & Nicobar Islands,19.0,2019,Children,IPC,Other_IPC,Victims
Andaman & Nicobar Islands,8.0,2019,Children,IPC,Other_Kidnap,Incidents
Andaman & Nicobar Islands,6.0,2019,Children,IPC,Other_Kidnap,Incidents
Andaman & Nicobar Islands,8.0,2019,Children,IPC,Other_Kidnap,Victims
Andaman & Nicobar Islands,7.0,2019,Children,IPC,Other_Kidnap,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Other_Murder,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Other_Murder,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Other_SLL,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Other_SLL,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Others,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Others,Victims
Andaman & Nicobar Islands,94.0,2019,Children,SSL,POCSO_Total,Incidents
Andaman & Nicobar Islands,94.0,2019,Children,SSL,POCSO_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Procurement,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Procurement,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Ransom,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Ransom,Victims
Andaman & Nicobar Islands,8.0,2019,Children,IPC,Rape,Incidents
Andaman & Nicobar Islands,8.0,2019,Children,IPC,Rape,Victims
Andaman & Nicobar Islands,4.0,2019,Children,SSL,Sec12_Total,Incidents
Andaman & Nicobar Islands,4.0,2019,Children,SSL,Sec12_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec14_15_Total,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec14_15_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec17_22_Total,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec17_22_Total,Victims
Andaman & Nicobar Islands,20.0,2019,Children,IPC,Sec363,Incidents
Andaman & Nicobar Islands,23.0,2019,Children,IPC,Sec363,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Sec364,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Sec364,Victims
Andaman & Nicobar Islands,2.0,2019,Children,SSL,Sec377_Total,Incidents
Andaman & Nicobar Islands,2.0,2019,Children,SSL,Sec377_Total,Victims
Andaman & Nicobar Islands,83.0,2019,Children,SSL,Sec4_6_Total,Incidents
Andaman & Nicobar Islands,83.0,2019,Children,SSL,Sec4_6_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec5,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec5,Victims
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec6,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,SSL,Sec6,Victims
Andaman & Nicobar Islands,5.0,2019,Children,SSL,Sec8_10_Total,Incidents
Andaman & Nicobar Islands,5.0,2019,Children,SSL,Sec8_10_Total,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Selling_Total,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Selling_Total,Victims
Andaman & Nicobar Islands,3.0,2019,Children,IPC,Simple_Hurt,Incidents
Andaman & Nicobar Islands,5.0,2019,Children,IPC,Simple_Hurt,Victims
Andaman & Nicobar Islands,57.0,2019,Children,IPC,Total,Incidents
Andaman & Nicobar Islands,64.0,2019,Children,IPC,Total,Victims
Andaman & Nicobar Islands,153.0,2019,Children,SSL,Total_All,Incidents
Andaman & Nicobar Islands,160.0,2019,Children,SSL,Total_All,Victims
Andaman & Nicobar Islands,96.0,2019,Children,SSL,Total_SLL,Incidents
Andaman & Nicobar Islands,96.0,2019,Children,SSL,Total_SLL,Victims
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Trafficking,Incidents
Andaman & Nicobar Islands,0.0,2019,Children,IPC,Trafficking,Victims
Andhra Pradesh,14.0,2019,Children,IPC,Abet_Suicide,Incidents
Andhra Pradesh,15.0,2019,Children,IPC,Abet_Suicide,Victims
Andhra Pradesh,312.0,2019,Children,IPC,Assault,Incidents
Andhra Pradesh,312.0,2019,Children,IPC,Assault,Victims
Andhra Pradesh,45.0,2019,Children,IPC,Attempt,Incidents
Andhra Pradesh,46.0,2019,Children,IPC,Attempt,Victims
Andhra Pradesh,5.0,2019,Children,IPC,Attempt_Murder,Incidents
Andhra Pradesh,5.0,2019,Children,IPC,Attempt_Murder,Victims
Andhra Pradesh,3.0,2019,Children,IPC,Begging,Incidents
Andhra Pradesh,3.0,2019,Children,IPC,Begging,Victims
Andhra Pradesh,0.0,2019,Children,IPC,Boys,Incidents
Andhra Pradesh,2.0,2019,Children,SSL,Boys,Incidents
Andhra Pradesh,0.0,2019,Children,SSL,Boys,Incidents
